// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\83e34dae-4812-44d9-8e2d-66528a023f2d
// command took 3.09s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\83e34dae-4812-44d9-8e2d-66528a023f2d
// command took 4.29s and exited with 0
// ***** Done, took 00:00:07 (7.73 sec)   *****
// Found 3 benchmarks:
//   GetIndexBenchmark.GetIndexSimple: DefaultJob
//   GetIndexBenchmark.GetIndexLibrary: DefaultJob
//   GetIndexBenchmark.GetIndexIntrinsics: DefaultJob

// **************************
// Benchmark: GetIndexBenchmark.GetIndexSimple: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "83e34dae-4812-44d9-8e2d-66528a023f2d.dll" --benchmarkName "bench.core.Intrinsics.GetIndexBenchmark.GetIndexSimple" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\83e34dae-4812-44d9-8e2d-66528a023f2d\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 694053.34 ns, 694.0533 us/op
WorkloadJitting  1: 1 op, 1118268.31 ns, 1.1183 ms/op

OverheadJitting  2: 16 op, 1022477.83 ns, 63.9049 us/op
WorkloadJitting  2: 16 op, 1897848.86 ns, 118.6156 us/op

WorkloadPilot    1: 16 op, 1091754.88 ns, 68.2347 us/op
WorkloadPilot    2: 32 op, 2092423.27 ns, 65.3882 us/op
WorkloadPilot    3: 64 op, 3669972.72 ns, 57.3433 us/op
WorkloadPilot    4: 128 op, 6887934.12 ns, 53.8120 us/op
WorkloadPilot    5: 256 op, 14835122.78 ns, 57.9497 us/op
WorkloadPilot    6: 512 op, 27292589.02 ns, 53.3058 us/op
WorkloadPilot    7: 1024 op, 55858250.62 ns, 54.5491 us/op
WorkloadPilot    8: 2048 op, 109039927.10 ns, 53.2422 us/op
WorkloadPilot    9: 4096 op, 226850669.91 ns, 55.3835 us/op
WorkloadPilot   10: 8192 op, 438529667.47 ns, 53.5315 us/op
WorkloadPilot   11: 16384 op, 871320031.29 ns, 53.1812 us/op

OverheadWarmup   1: 16384 op, 79967.94 ns, 4.8809 ns/op
OverheadWarmup   2: 16384 op, 59013.78 ns, 3.6019 ns/op
OverheadWarmup   3: 16384 op, 67138.86 ns, 4.0978 ns/op
OverheadWarmup   4: 16384 op, 75691.58 ns, 4.6198 ns/op
OverheadWarmup   5: 16384 op, 75691.58 ns, 4.6198 ns/op
OverheadWarmup   6: 16384 op, 81678.49 ns, 4.9853 ns/op
OverheadWarmup   7: 16384 op, 85527.21 ns, 5.2202 ns/op
OverheadWarmup   8: 16384 op, 71415.22 ns, 4.3588 ns/op

OverheadActual   1: 16384 op, 58586.14 ns, 3.5758 ns/op
OverheadActual   2: 16384 op, 58586.14 ns, 3.5758 ns/op
OverheadActual   3: 16384 op, 58586.14 ns, 3.5758 ns/op
OverheadActual   4: 16384 op, 58586.14 ns, 3.5758 ns/op
OverheadActual   5: 16384 op, 90658.85 ns, 5.5334 ns/op
OverheadActual   6: 16384 op, 81250.85 ns, 4.9592 ns/op
OverheadActual   7: 16384 op, 79112.67 ns, 4.8287 ns/op
OverheadActual   8: 16384 op, 79967.94 ns, 4.8809 ns/op
OverheadActual   9: 16384 op, 81678.49 ns, 4.9853 ns/op
OverheadActual  10: 16384 op, 93224.66 ns, 5.6900 ns/op
OverheadActual  11: 16384 op, 79540.31 ns, 4.8548 ns/op
OverheadActual  12: 16384 op, 75263.95 ns, 4.5937 ns/op
OverheadActual  13: 16384 op, 80395.58 ns, 4.9070 ns/op
OverheadActual  14: 16384 op, 78685.04 ns, 4.8026 ns/op
OverheadActual  15: 16384 op, 75691.58 ns, 4.6198 ns/op
OverheadActual  16: 16384 op, 75263.95 ns, 4.5937 ns/op
OverheadActual  17: 16384 op, 73125.77 ns, 4.4632 ns/op
OverheadActual  18: 16384 op, 58586.14 ns, 3.5758 ns/op
OverheadActual  19: 16384 op, 90658.85 ns, 5.5334 ns/op
OverheadActual  20: 16384 op, 73981.04 ns, 4.5154 ns/op

WorkloadWarmup   1: 16384 op, 869808765.43 ns, 53.0889 us/op
WorkloadWarmup   2: 16384 op, 871553948.21 ns, 53.1954 us/op
WorkloadWarmup   3: 16384 op, 877002031.70 ns, 53.5280 us/op
WorkloadWarmup   4: 16384 op, 897339975.38 ns, 54.7693 us/op
WorkloadWarmup   5: 16384 op, 876178404.64 ns, 53.4777 us/op
WorkloadWarmup   6: 16384 op, 870371534.49 ns, 53.1233 us/op
WorkloadWarmup   7: 16384 op, 882083631.07 ns, 53.8381 us/op
WorkloadWarmup   8: 16384 op, 870092715.78 ns, 53.1062 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 875788828.18 ns, 53.4539 us/op
WorkloadActual   2: 16384 op, 868914578.41 ns, 53.0343 us/op
WorkloadActual   3: 16384 op, 880926020.24 ns, 53.7675 us/op
WorkloadActual   4: 16384 op, 868829906.47 ns, 53.0292 us/op
WorkloadActual   5: 16384 op, 870680287.73 ns, 53.1421 us/op
WorkloadActual   6: 16384 op, 869494880.55 ns, 53.0698 us/op
WorkloadActual   7: 16384 op, 874224107.81 ns, 53.3584 us/op
WorkloadActual   8: 16384 op, 873524922.84 ns, 53.3157 us/op
WorkloadActual   9: 16384 op, 874861713.19 ns, 53.3973 us/op
WorkloadActual  10: 16384 op, 868670825.86 ns, 53.0195 us/op
WorkloadActual  11: 16384 op, 869698435.32 ns, 53.0822 us/op
WorkloadActual  12: 16384 op, 875921823.00 ns, 53.4620 us/op
WorkloadActual  13: 16384 op, 875287638.71 ns, 53.4233 us/op
WorkloadActual  14: 16384 op, 872228757.93 ns, 53.2366 us/op
WorkloadActual  15: 16384 op, 870696965.54 ns, 53.1431 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 875711639.87 ns, 53.4492 us/op
WorkloadResult   2: 16384 op, 868837390.10 ns, 53.0296 us/op
WorkloadResult   3: 16384 op, 880848831.93 ns, 53.7627 us/op
WorkloadResult   4: 16384 op, 868752718.16 ns, 53.0245 us/op
WorkloadResult   5: 16384 op, 870603099.42 ns, 53.1374 us/op
WorkloadResult   6: 16384 op, 869417692.24 ns, 53.0650 us/op
WorkloadResult   7: 16384 op, 874146919.50 ns, 53.3537 us/op
WorkloadResult   8: 16384 op, 873447734.53 ns, 53.3110 us/op
WorkloadResult   9: 16384 op, 874784524.88 ns, 53.3926 us/op
WorkloadResult  10: 16384 op, 868593637.55 ns, 53.0147 us/op
WorkloadResult  11: 16384 op, 869621247.01 ns, 53.0775 us/op
WorkloadResult  12: 16384 op, 875844634.69 ns, 53.4573 us/op
WorkloadResult  13: 16384 op, 875210450.40 ns, 53.4186 us/op
WorkloadResult  14: 16384 op, 872151569.62 ns, 53.2319 us/op
WorkloadResult  15: 16384 op, 870619777.23 ns, 53.1384 us/op

// AfterAll
// Benchmark Process 6248 has exited with code 0

Mean = 53.2576 us, StdErr = 0.0557 us (0.10%); N = 15, StdDev = 0.2158 us
Min = 53.0147 us, Q1 = 53.0650 us, Median = 53.2319 us, Q3 = 53.4186 us, Max = 53.7627 us
IQR = 0.3536 us, LowerFence = 52.5347 us, UpperFence = 53.9489 us
ConfidenceInterval = [53.0269 us; 53.4884 us] (CI 99.9%), Margin = 0.2307 us (0.43% of Mean)
Skewness = 0.64, Kurtosis = 2.49, MValue = 2

// **************************
// Benchmark: GetIndexBenchmark.GetIndexLibrary: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "83e34dae-4812-44d9-8e2d-66528a023f2d.dll" --benchmarkName "bench.core.Intrinsics.GetIndexBenchmark.GetIndexLibrary" --job "Default" --benchmarkId 1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\83e34dae-4812-44d9-8e2d-66528a023f2d\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 687638.79 ns, 687.6388 us/op
WorkloadJitting  1: 1 op, 1546332.02 ns, 1.5463 ms/op

OverheadJitting  2: 16 op, 1037017.46 ns, 64.8136 us/op
WorkloadJitting  2: 16 op, 1578832.36 ns, 98.6770 us/op

WorkloadPilot    1: 16 op, 484939.30 ns, 30.3087 us/op
WorkloadPilot    2: 32 op, 1051557.09 ns, 32.8612 us/op
WorkloadPilot    3: 64 op, 1971829.90 ns, 30.8098 us/op
WorkloadPilot    4: 128 op, 3830763.88 ns, 29.9278 us/op
WorkloadPilot    5: 256 op, 7670508.12 ns, 29.9629 us/op
WorkloadPilot    6: 512 op, 16067142.28 ns, 31.3811 us/op
WorkloadPilot    7: 1024 op, 30732921.18 ns, 30.0126 us/op
WorkloadPilot    8: 2048 op, 61977722.73 ns, 30.2626 us/op
WorkloadPilot    9: 4096 op, 123816036.10 ns, 30.2285 us/op
WorkloadPilot   10: 8192 op, 246247386.61 ns, 30.0595 us/op
WorkloadPilot   11: 16384 op, 495434343.54 ns, 30.2389 us/op
WorkloadPilot   12: 32768 op, 979046260.39 ns, 29.8781 us/op

OverheadWarmup   1: 32768 op, 129146.09 ns, 3.9412 ns/op
OverheadWarmup   2: 32768 op, 118027.55 ns, 3.6019 ns/op
OverheadWarmup   3: 32768 op, 117172.28 ns, 3.5758 ns/op
OverheadWarmup   4: 32768 op, 117172.28 ns, 3.5758 ns/op
OverheadWarmup   5: 32768 op, 117599.92 ns, 3.5889 ns/op
OverheadWarmup   6: 32768 op, 117172.28 ns, 3.5758 ns/op
OverheadWarmup   7: 32768 op, 117172.28 ns, 3.5758 ns/op

OverheadActual   1: 32768 op, 118027.55 ns, 3.6019 ns/op
OverheadActual   2: 32768 op, 118027.55 ns, 3.6019 ns/op
OverheadActual   3: 32768 op, 118027.55 ns, 3.6019 ns/op
OverheadActual   4: 32768 op, 118027.55 ns, 3.6019 ns/op
OverheadActual   5: 32768 op, 118027.55 ns, 3.6019 ns/op
OverheadActual   6: 32768 op, 117172.28 ns, 3.5758 ns/op
OverheadActual   7: 32768 op, 117599.92 ns, 3.5889 ns/op
OverheadActual   8: 32768 op, 117599.92 ns, 3.5889 ns/op
