// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\49956d93-7554-49a5-a72e-ca00442d0ade
// command took 10.46s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\49956d93-7554-49a5-a72e-ca00442d0ade
// command took 15.71s and exited with 0
// ***** Done, took 00:00:26 (26.66 sec)   *****
// Found 3 benchmarks:
//   GetIndexBenchmark.GetIndexSimple: DefaultJob
//   GetIndexBenchmark.GetIndexLibrary: DefaultJob
//   GetIndexBenchmark.GetIndexIntrinsics: DefaultJob

// **************************
// Benchmark: GetIndexBenchmark.GetIndexSimple: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "49956d93-7554-49a5-a72e-ca00442d0ade.dll" --benchmarkName "bench.core.Intrinsics.GetIndexBenchmark.GetIndexSimple" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\49956d93-7554-49a5-a72e-ca00442d0ade\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 1563437.46 ns, 1.5634 ms/op
WorkloadJitting  1: 1 op, 2458052.11 ns, 2.4581 ms/op

OverheadJitting  2: 16 op, 2860030.01 ns, 178.7519 us/op
WorkloadJitting  2: 16 op, 5111533.90 ns, 319.4709 us/op

WorkloadPilot    1: 16 op, 3173059.61 ns, 198.3162 us/op
WorkloadPilot    2: 32 op, 4169879.28 ns, 130.3087 us/op
WorkloadPilot    3: 64 op, 11137353.71 ns, 174.0212 us/op
WorkloadPilot    4: 128 op, 20978542.51 ns, 163.8949 us/op
WorkloadPilot    5: 256 op, 44228260.16 ns, 172.7666 us/op
WorkloadPilot    6: 512 op, 69173982.45 ns, 135.1054 us/op
WorkloadPilot    7: 1024 op, 171513280.02 ns, 167.4934 us/op
WorkloadPilot    8: 2048 op, 297224171.53 ns, 145.1290 us/op
WorkloadPilot    9: 4096 op, 518427051.92 ns, 126.5691 us/op

OverheadWarmup   1: 4096 op, 37631.97 ns, 9.1875 ns/op
OverheadWarmup   2: 4096 op, 28651.62 ns, 6.9950 ns/op
OverheadWarmup   3: 4096 op, 28651.62 ns, 6.9950 ns/op
OverheadWarmup   4: 4096 op, 32927.98 ns, 8.0391 ns/op
OverheadWarmup   5: 4096 op, 42763.61 ns, 10.4403 ns/op
OverheadWarmup   6: 4096 op, 38059.61 ns, 9.2919 ns/op
OverheadWarmup   7: 4096 op, 38059.61 ns, 9.2919 ns/op

OverheadActual   1: 4096 op, 28651.62 ns, 6.9950 ns/op
OverheadActual   2: 4096 op, 29079.25 ns, 7.0994 ns/op
