// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\3c5ed162-ff11-4536-aab9-129fbc34972c
// command took 3.17s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\3c5ed162-ff11-4536-aab9-129fbc34972c
// command took 3.83s and exited with 0
// ***** Done, took 00:00:07 (7.24 sec)   *****
// Found 3 benchmarks:
//   GetIndexBenchmark.GetIndexSimple: DefaultJob
//   GetIndexBenchmark.GetIndexLibrary: DefaultJob
//   GetIndexBenchmark.GetIndexIntrinsics: DefaultJob

// **************************
// Benchmark: GetIndexBenchmark.GetIndexSimple: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3c5ed162-ff11-4536-aab9-129fbc34972c.dll" --benchmarkName "bench.core.Intrinsics.GetIndexBenchmark.GetIndexSimple" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\3c5ed162-ff11-4536-aab9-129fbc34972c\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 497769.02 ns, 497.7690 us/op
WorkloadJitting  1: 1 op, 753495.72 ns, 753.4957 us/op

OverheadJitting  2: 16 op, 719712.42 ns, 44.9820 us/op
WorkloadJitting  2: 16 op, 1839692.72 ns, 114.9808 us/op

WorkloadPilot    1: 16 op, 580730.52 ns, 36.2957 us/op
WorkloadPilot    2: 32 op, 1229455.27 ns, 38.4205 us/op
WorkloadPilot    3: 64 op, 3611391.21 ns, 56.4280 us/op
WorkloadPilot    4: 128 op, 6465437.98 ns, 50.5112 us/op
WorkloadPilot    5: 256 op, 11936193.20 ns, 46.6258 us/op
WorkloadPilot    6: 512 op, 19028546.45 ns, 37.1651 us/op
WorkloadPilot    7: 1024 op, 40534819.46 ns, 39.5848 us/op
WorkloadPilot    8: 2048 op, 79070437.74 ns, 38.6086 us/op
WorkloadPilot    9: 4096 op, 154778796.41 ns, 37.7878 us/op
WorkloadPilot   10: 8192 op, 301199862.81 ns, 36.7676 us/op
WorkloadPilot   11: 16384 op, 618752549.78 ns, 37.7657 us/op

OverheadWarmup   1: 16384 op, 67566.59 ns, 4.1239 ns/op
OverheadWarmup   2: 16384 op, 40197.84 ns, 2.4535 ns/op
OverheadWarmup   3: 16384 op, 52171.67 ns, 3.1843 ns/op
OverheadWarmup   4: 16384 op, 52599.30 ns, 3.2104 ns/op
OverheadWarmup   5: 16384 op, 56448.03 ns, 3.4453 ns/op
OverheadWarmup   6: 16384 op, 55592.76 ns, 3.3931 ns/op
OverheadWarmup   7: 16384 op, 53026.94 ns, 3.2365 ns/op
