// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:14 (14.57 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:23 (23.78 sec)   *****
// Found 6 benchmarks:
//   GetIndexBenchmark.GetIndexSimple: Job-QUTXYI(Runtime=.NET 4.7.2)
//   GetIndexBenchmark.GetIndexLibrary: Job-QUTXYI(Runtime=.NET 4.7.2)
//   GetIndexBenchmark.GetIndexIntrinsics: Job-QUTXYI(Runtime=.NET 4.7.2)
//   GetIndexBenchmark.GetIndexSimple: Job-LEPNUD(Runtime=.NET Core 3.1)
//   GetIndexBenchmark.GetIndexLibrary: Job-LEPNUD(Runtime=.NET Core 3.1)
//   GetIndexBenchmark.GetIndexIntrinsics: Job-LEPNUD(Runtime=.NET Core 3.1)

// Build Error: Standard output: 
  
 Standard error: 
 Time Elapsed 00:00:02.63
    3 Error(s)
    0 Warning(s)
4350e4be-950e-48b7-87e1-57296907665f.notcs(856,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(1588,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(124,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
Build FAILED.
4350e4be-950e-48b7-87e1-57296907665f.notcs(856,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(1588,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(124,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
Copyright (C) Microsoft Corporation. All rights reserved.
Microsoft (R) Build Engine version 16.5.0+d4cbfca49 for .NET Core

// Build Error: Standard output: 
  
 Standard error: 
 Time Elapsed 00:00:02.63
    3 Error(s)
    0 Warning(s)
4350e4be-950e-48b7-87e1-57296907665f.notcs(856,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(1588,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(124,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
Build FAILED.
4350e4be-950e-48b7-87e1-57296907665f.notcs(856,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(1588,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(124,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
Copyright (C) Microsoft Corporation. All rights reserved.
Microsoft (R) Build Engine version 16.5.0+d4cbfca49 for .NET Core

// Build Error: Standard output: 
  
 Standard error: 
 Time Elapsed 00:00:02.63
    3 Error(s)
    0 Warning(s)
4350e4be-950e-48b7-87e1-57296907665f.notcs(856,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(1588,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(124,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
Build FAILED.
4350e4be-950e-48b7-87e1-57296907665f.notcs(856,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(1588,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
4350e4be-950e-48b7-87e1-57296907665f.notcs(124,61): error CS0234: The type or namespace name 'GetIndexBenchmark' does not exist in the namespace 'bench.core.Intrinsics' (are you missing an assembly reference?) [C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\4350e4be-950e-48b7-87e1-57296907665f\BenchmarkDotNet.Autogenerated.csproj]
Copyright (C) Microsoft Corporation. All rights reserved.
Microsoft (R) Build Engine version 16.5.0+d4cbfca49 for .NET Core

// **************************
// Benchmark: GetIndexBenchmark.GetIndexSimple: Job-LEPNUD(Runtime=.NET Core 3.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "76b3a287-cd93-4291-ac48-bf60811a09ce.dll" --benchmarkName "bench.core.Intrinsics.GetIndexBenchmark.GetIndexSimple" --job "Runtime=.NET Core 3.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\76b3a287-cd93-4291-ac48-bf60811a09ce\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 700041.14 ns, 700.0411 us/op
WorkloadJitting  1: 1 op, 1428306.29 ns, 1.4283 ms/op

OverheadJitting  2: 16 op, 1676335.53 ns, 104.7710 us/op
WorkloadJitting  2: 16 op, 3123885.47 ns, 195.2428 us/op

WorkloadPilot    1: 16 op, 858266.69 ns, 53.6417 us/op
WorkloadPilot    2: 32 op, 1781534.14 ns, 55.6729 us/op
WorkloadPilot    3: 64 op, 3400138.73 ns, 53.1272 us/op
WorkloadPilot    4: 128 op, 6801132.72 ns, 53.1338 us/op
WorkloadPilot    5: 256 op, 14245858.55 ns, 55.6479 us/op
WorkloadPilot    6: 512 op, 27757037.40 ns, 54.2130 us/op
WorkloadPilot    7: 1024 op, 57492321.78 ns, 56.1448 us/op
WorkloadPilot    8: 2048 op, 110687750.86 ns, 54.0468 us/op
WorkloadPilot    9: 4096 op, 220545459.06 ns, 53.8441 us/op
WorkloadPilot   10: 8192 op, 441486054.34 ns, 53.8923 us/op
WorkloadPilot   11: 16384 op, 883062340.01 ns, 53.8978 us/op

OverheadWarmup   1: 16384 op, 63717.86 ns, 3.8890 ns/op
OverheadWarmup   2: 16384 op, 90231.33 ns, 5.5073 ns/op
OverheadWarmup   3: 16384 op, 76974.59 ns, 4.6982 ns/op
OverheadWarmup   4: 16384 op, 82961.50 ns, 5.0636 ns/op
OverheadWarmup   5: 16384 op, 78257.50 ns, 4.7765 ns/op

OverheadActual   1: 16384 op, 83816.78 ns, 5.1158 ns/op
OverheadActual   2: 16384 op, 89376.05 ns, 5.4551 ns/op
OverheadActual   3: 16384 op, 59013.85 ns, 3.6019 ns/op
OverheadActual   4: 16384 op, 99211.69 ns, 6.0554 ns/op
OverheadActual   5: 16384 op, 93224.78 ns, 5.6900 ns/op
OverheadActual   6: 16384 op, 77829.86 ns, 4.7504 ns/op
OverheadActual   7: 16384 op, 90231.33 ns, 5.5073 ns/op
OverheadActual   8: 16384 op, 87237.87 ns, 5.3246 ns/op
OverheadActual   9: 16384 op, 58158.58 ns, 3.5497 ns/op
OverheadActual  10: 16384 op, 87237.87 ns, 5.3246 ns/op
OverheadActual  11: 16384 op, 85954.96 ns, 5.2463 ns/op
OverheadActual  12: 16384 op, 81678.59 ns, 4.9853 ns/op
OverheadActual  13: 16384 op, 82961.50 ns, 5.0636 ns/op
OverheadActual  14: 16384 op, 73125.86 ns, 4.4632 ns/op
OverheadActual  15: 16384 op, 90231.33 ns, 5.5073 ns/op
OverheadActual  16: 16384 op, 77402.23 ns, 4.7243 ns/op
OverheadActual  17: 16384 op, 82106.23 ns, 5.0114 ns/op
OverheadActual  18: 16384 op, 91941.87 ns, 5.6117 ns/op
OverheadActual  19: 16384 op, 76974.59 ns, 4.6982 ns/op
OverheadActual  20: 16384 op, 100494.60 ns, 6.1337 ns/op

WorkloadWarmup   1: 16384 op, 891618493.40 ns, 54.4201 us/op
WorkloadWarmup   2: 16384 op, 883462180.25 ns, 53.9223 us/op
WorkloadWarmup   3: 16384 op, 887745388.58 ns, 54.1837 us/op
WorkloadWarmup   4: 16384 op, 887279692.31 ns, 54.1553 us/op
WorkloadWarmup   5: 16384 op, 883546424.66 ns, 53.9274 us/op
WorkloadWarmup   6: 16384 op, 878395114.00 ns, 53.6130 us/op
WorkloadWarmup   7: 16384 op, 882908390.83 ns, 53.8885 us/op
WorkloadWarmup   8: 16384 op, 879375257.12 ns, 53.6728 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 884415382.26 ns, 53.9804 us/op
WorkloadActual   2: 16384 op, 888131544.44 ns, 54.2072 us/op
WorkloadActual   3: 16384 op, 891351220.52 ns, 54.4038 us/op
WorkloadActual   4: 16384 op, 885057264.82 ns, 54.0196 us/op
WorkloadActual   5: 16384 op, 1047361610.38 ns, 63.9259 us/op
WorkloadActual   6: 16384 op, 882262659.54 ns, 53.8490 us/op
WorkloadActual   7: 16384 op, 879972237.83 ns, 53.7092 us/op
WorkloadActual   8: 16384 op, 884003568.20 ns, 53.9553 us/op
WorkloadActual   9: 16384 op, 882617170.29 ns, 53.8707 us/op
WorkloadActual  10: 16384 op, 882822435.87 ns, 53.8832 us/op
WorkloadActual  11: 16384 op, 880281846.74 ns, 53.7281 us/op
WorkloadActual  12: 16384 op, 884469264.47 ns, 53.9837 us/op
WorkloadActual  13: 16384 op, 886765673.10 ns, 54.1239 us/op
WorkloadActual  14: 16384 op, 883236388.11 ns, 53.9085 us/op
WorkloadActual  15: 16384 op, 882695427.79 ns, 53.8755 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 884330496.39 ns, 53.9753 us/op
WorkloadResult   2: 16384 op, 888046658.58 ns, 54.2021 us/op
WorkloadResult   3: 16384 op, 884972378.95 ns, 54.0144 us/op
WorkloadResult   4: 16384 op, 882177773.67 ns, 53.8439 us/op
WorkloadResult   5: 16384 op, 879887351.96 ns, 53.7041 us/op
WorkloadResult   6: 16384 op, 883918682.33 ns, 53.9501 us/op
WorkloadResult   7: 16384 op, 882532284.43 ns, 53.8655 us/op
WorkloadResult   8: 16384 op, 882737550.00 ns, 53.8780 us/op
WorkloadResult   9: 16384 op, 880196960.87 ns, 53.7230 us/op
WorkloadResult  10: 16384 op, 884384378.61 ns, 53.9785 us/op
WorkloadResult  11: 16384 op, 886680787.23 ns, 54.1187 us/op
WorkloadResult  12: 16384 op, 883151502.24 ns, 53.9033 us/op
WorkloadResult  13: 16384 op, 882610541.93 ns, 53.8703 us/op

// AfterAll
// Benchmark Process 6772 has exited with code 0

Mean = 53.925 μs, StdErr = 0.039 μs (0.07%), N = 13, StdDev = 0.140 μs
Min = 53.704 μs, Q1 = 53.865 μs, Median = 53.903 μs, Q3 = 53.979 μs, Max = 54.202 μs
IQR = 0.113 μs, LowerFence = 53.696 μs, UpperFence = 54.148 μs
ConfidenceInterval = [53.758 μs; 54.092 μs] (CI 99.9%), Margin = 0.167 μs (0.31% of Mean)
Skewness = 0.27, Kurtosis = 2.33, MValue = 2

// **************************
// Benchmark: GetIndexBenchmark.GetIndexLibrary: Job-LEPNUD(Runtime=.NET Core 3.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "76b3a287-cd93-4291-ac48-bf60811a09ce.dll" --benchmarkName "bench.core.Intrinsics.GetIndexBenchmark.GetIndexLibrary" --job "Runtime=.NET Core 3.1" --benchmarkId 1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\76b3a287-cd93-4291-ac48-bf60811a09ce\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 988695.85 ns, 988.6959 us/op
WorkloadJitting  1: 1 op, 1387253.18 ns, 1.3873 ms/op

OverheadJitting  2: 16 op, 1041295.16 ns, 65.0809 us/op
WorkloadJitting  2: 16 op, 1993214.26 ns, 124.5759 us/op

WorkloadPilot    1: 16 op, 487505.74 ns, 30.4691 us/op
WorkloadPilot    2: 32 op, 1911108.03 ns, 59.7221 us/op
WorkloadPilot    3: 64 op, 2070616.49 ns, 32.3534 us/op
WorkloadPilot    4: 128 op, 4095903.50 ns, 31.9992 us/op
WorkloadPilot    5: 256 op, 7789400.94 ns, 30.4273 us/op
WorkloadPilot    6: 512 op, 16231375.36 ns, 31.7019 us/op
WorkloadPilot    7: 1024 op, 32190773.83 ns, 31.4363 us/op
WorkloadPilot    8: 2048 op, 66833188.36 ns, 32.6334 us/op
WorkloadPilot    9: 4096 op, 135225112.19 ns, 33.0139 us/op
WorkloadPilot   10: 8192 op, 250193077.93 ns, 30.5411 us/op
WorkloadPilot   11: 16384 op, 499204595.90 ns, 30.4690 us/op
WorkloadPilot   12: 32768 op, 1000747936.44 ns, 30.5404 us/op

OverheadWarmup   1: 32768 op, 121448.80 ns, 3.7063 ns/op
OverheadWarmup   2: 32768 op, 116744.80 ns, 3.5628 ns/op
OverheadWarmup   3: 32768 op, 154376.82 ns, 4.7112 ns/op
OverheadWarmup   4: 32768 op, 119738.25 ns, 3.6541 ns/op
OverheadWarmup   5: 32768 op, 119738.25 ns, 3.6541 ns/op
OverheadWarmup   6: 32768 op, 125725.16 ns, 3.8368 ns/op

OverheadActual   1: 32768 op, 128290.98 ns, 3.9151 ns/op
OverheadActual   2: 32768 op, 141120.08 ns, 4.3066 ns/op
OverheadActual   3: 32768 op, 116744.80 ns, 3.5628 ns/op
OverheadActual   4: 32768 op, 116744.80 ns, 3.5628 ns/op
OverheadActual   5: 32768 op, 116317.16 ns, 3.5497 ns/op
OverheadActual   6: 32768 op, 126580.44 ns, 3.8629 ns/op
OverheadActual   7: 32768 op, 118027.71 ns, 3.6019 ns/op
