// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\629894db-1ec7-47ad-981e-f4990654b4b2
// command took 5.68s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\629894db-1ec7-47ad-981e-f4990654b4b2
// command took 8.62s and exited with 0
// ***** Done, took 00:00:14 (14.69 sec)   *****
// Found 4 benchmarks:
//   SumBenchmark.Sum: DefaultJob
//   SumBenchmark.SumUnrolled: DefaultJob
//   SumBenchmark.SumVectorT: DefaultJob
//   SumBenchmark.SumVectorized: DefaultJob

// **************************
// Benchmark: SumBenchmark.Sum: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "629894db-1ec7-47ad-981e-f4990654b4b2.dll" --benchmarkName "bench.core.Intrinsics.SumBenchmark.Sum" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\629894db-1ec7-47ad-981e-f4990654b4b2\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 1362020.87 ns, 1.3620 ms/op
WorkloadJitting  1: 1 op, 16434909.30 ns, 16.4349 ms/op

OverheadJitting  2: 16 op, 2937859.78 ns, 183.6162 us/op
WorkloadJitting  2: 16 op, 2057784.75 ns, 128.6115 us/op

WorkloadPilot    1: 16 op, 59441.41 ns, 3.7151 us/op
WorkloadPilot    2: 32 op, 118882.83 ns, 3.7151 us/op
WorkloadPilot    3: 64 op, 208686.40 ns, 3.2607 us/op
WorkloadPilot    4: 128 op, 425497.89 ns, 3.3242 us/op
WorkloadPilot    5: 256 op, 817212.52 ns, 3.1922 us/op
WorkloadPilot    6: 512 op, 1649819.94 ns, 3.2223 us/op
WorkloadPilot    7: 1024 op, 3040492.43 ns, 2.9692 us/op
WorkloadPilot    8: 2048 op, 6801124.00 ns, 3.3209 us/op
WorkloadPilot    9: 4096 op, 13833599.11 ns, 3.3773 us/op
WorkloadPilot   10: 8192 op, 17332089.77 ns, 2.1157 us/op
WorkloadPilot   11: 16384 op, 41286124.02 ns, 2.5199 us/op
WorkloadPilot   12: 32768 op, 74875654.12 ns, 2.2850 us/op
WorkloadPilot   13: 65536 op, 151756493.76 ns, 2.3156 us/op
WorkloadPilot   14: 131072 op, 292669419.79 ns, 2.2329 us/op
WorkloadPilot   15: 262144 op, 568661888.26 ns, 2.1693 us/op

OverheadWarmup   1: 262144 op, 2039396.40 ns, 7.7797 ns/op
OverheadWarmup   2: 262144 op, 2895096.17 ns, 11.0439 ns/op
OverheadWarmup   3: 262144 op, 1977816.81 ns, 7.5448 ns/op
OverheadWarmup   4: 262144 op, 2063771.66 ns, 7.8727 ns/op
OverheadWarmup   5: 262144 op, 1866203.79 ns, 7.1190 ns/op

OverheadActual   1: 262144 op, 2226273.36 ns, 8.4926 ns/op
OverheadActual   2: 262144 op, 1759294.78 ns, 6.7112 ns/op
OverheadActual   3: 262144 op, 2413150.32 ns, 9.2054 ns/op
OverheadActual   4: 262144 op, 1758439.50 ns, 6.7079 ns/op
OverheadActual   5: 262144 op, 1782387.12 ns, 6.7993 ns/op
OverheadActual   6: 262144 op, 1759294.78 ns, 6.7112 ns/op
OverheadActual   7: 262144 op, 1758867.14 ns, 6.7095 ns/op
OverheadActual   8: 262144 op, 1758867.14 ns, 6.7095 ns/op
