// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:09 (9.98 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:10 (10.02 sec)   *****
// Found 4 benchmarks:
//   VectorizationBenchmark.CustomMul: Job-VUYPBA(Runtime=.NET 4.7.2)
//   VectorizationBenchmark.SystemMul: Job-VUYPBA(Runtime=.NET 4.7.2)
//   VectorizationBenchmark.CustomMul: Job-COWAAG(Runtime=.NET Core 3.1)
//   VectorizationBenchmark.SystemMul: Job-COWAAG(Runtime=.NET Core 3.1)

// Build Error: The project which defines benchmarks does not target 'net472'.
You need to add 'net472' to <TargetFrameworks> in your project file ('bench.core').
Example: <TargetFrameworks>netcoreapp3.1;net472</TargetFrameworks>

// Build Error: The project which defines benchmarks does not target 'net472'.
You need to add 'net472' to <TargetFrameworks> in your project file ('bench.core').
Example: <TargetFrameworks>netcoreapp3.1;net472</TargetFrameworks>

// **************************
// Benchmark: VectorizationBenchmark.CustomMul: Job-COWAAG(Runtime=.NET Core 3.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "12610784-4e57-4732-adf3-f8d940d9428a.dll" --benchmarkName "bench.core.Intrinsics.VectorizationBenchmark.CustomMul" --job "Runtime=.NET Core 3.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\12610784-4e57-4732-adf3-f8d940d9428a\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 630764.01 ns, 630.7640 us/op
WorkloadJitting  1: 1 op, 673100.03 ns, 673.1000 us/op

OverheadJitting  2: 16 op, 463130.45 ns, 28.9457 us/op
WorkloadJitting  2: 16 op, 606388.72 ns, 37.8993 us/op

WorkloadPilot    1: 16 op, 2138.18 ns, 133.6364 ns/op
WorkloadPilot    2: 32 op, 1710.55 ns, 53.4546 ns/op
WorkloadPilot    3: 64 op, 2138.18 ns, 33.4091 ns/op
WorkloadPilot    4: 128 op, 5559.28 ns, 43.4318 ns/op
WorkloadPilot    5: 256 op, 9835.64 ns, 38.4205 ns/op
WorkloadPilot    6: 512 op, 18388.37 ns, 35.9148 ns/op
WorkloadPilot    7: 1024 op, 26941.11 ns, 26.3097 ns/op
WorkloadPilot    8: 2048 op, 53026.94 ns, 25.8921 ns/op
WorkloadPilot    9: 4096 op, 105198.61 ns, 25.6833 ns/op
WorkloadPilot   10: 8192 op, 297635.08 ns, 36.3324 ns/op
WorkloadPilot   11: 16384 op, 422932.61 ns, 25.8138 ns/op
WorkloadPilot   12: 32768 op, 918991.09 ns, 28.0454 ns/op
WorkloadPilot   13: 65536 op, 2467890.90 ns, 37.6570 ns/op
WorkloadPilot   14: 131072 op, 5209469.24 ns, 39.7451 ns/op
WorkloadPilot   15: 262144 op, 9141587.92 ns, 34.8724 ns/op
WorkloadPilot   16: 524288 op, 13521442.13 ns, 25.7901 ns/op
WorkloadPilot   17: 1048576 op, 27136109.04 ns, 25.8790 ns/op
WorkloadPilot   18: 2097152 op, 58779080.36 ns, 28.0280 ns/op
WorkloadPilot   19: 4194304 op, 52931577.29 ns, 12.6199 ns/op
WorkloadPilot   20: 8388608 op, 61526217.97 ns, 7.3345 ns/op
WorkloadPilot   21: 16777216 op, 116492490.27 ns, 6.9435 ns/op
WorkloadPilot   22: 33554432 op, 232816064.08 ns, 6.9385 ns/op
WorkloadPilot   23: 67108864 op, 459399324.51 ns, 6.8456 ns/op
WorkloadPilot   24: 134217728 op, 908762017.66 ns, 6.7708 ns/op

OverheadWarmup   1: 134217728 op, 467146817.06 ns, 3.4805 ns/op
OverheadWarmup   2: 134217728 op, 466807701.22 ns, 3.4780 ns/op
OverheadWarmup   3: 134217728 op, 467459419.42 ns, 3.4828 ns/op
OverheadWarmup   4: 134217728 op, 468517392.41 ns, 3.4907 ns/op
OverheadWarmup   5: 134217728 op, 467312740.06 ns, 3.4818 ns/op
OverheadWarmup   6: 134217728 op, 479024424.04 ns, 3.5690 ns/op
OverheadWarmup   7: 134217728 op, 470721003.89 ns, 3.5071 ns/op

OverheadActual   1: 134217728 op, 466778194.30 ns, 3.4778 ns/op
OverheadActual   2: 134217728 op, 468855225.33 ns, 3.4932 ns/op
OverheadActual   3: 134217728 op, 467488071.08 ns, 3.4831 ns/op
OverheadActual   4: 134217728 op, 467577447.13 ns, 3.4837 ns/op
OverheadActual   5: 134217728 op, 469163123.70 ns, 3.4955 ns/op
OverheadActual   6: 134217728 op, 467309746.61 ns, 3.4817 ns/op
OverheadActual   7: 134217728 op, 467829325.10 ns, 3.4856 ns/op
OverheadActual   8: 134217728 op, 468064952.87 ns, 3.4874 ns/op
OverheadActual   9: 134217728 op, 467454287.78 ns, 3.4828 ns/op
OverheadActual  10: 134217728 op, 467262706.58 ns, 3.4814 ns/op
OverheadActual  11: 134217728 op, 472875009.51 ns, 3.5232 ns/op
OverheadActual  12: 134217728 op, 468866343.89 ns, 3.4933 ns/op
OverheadActual  13: 134217728 op, 467512874.00 ns, 3.4832 ns/op
OverheadActual  14: 134217728 op, 467437609.96 ns, 3.4827 ns/op
OverheadActual  15: 134217728 op, 466831648.87 ns, 3.4782 ns/op

WorkloadWarmup   1: 134217728 op, 910121046.82 ns, 6.7809 ns/op
WorkloadWarmup   2: 134217728 op, 913138450.78 ns, 6.8034 ns/op
WorkloadWarmup   3: 134217728 op, 960919572.67 ns, 7.1594 ns/op
WorkloadWarmup   4: 134217728 op, 950144412.88 ns, 7.0791 ns/op
WorkloadWarmup   5: 134217728 op, 954520418.37 ns, 7.1117 ns/op
WorkloadWarmup   6: 134217728 op, 955171281.29 ns, 7.1166 ns/op
WorkloadWarmup   7: 134217728 op, 957798253.02 ns, 7.1362 ns/op
WorkloadWarmup   8: 134217728 op, 952598191.78 ns, 7.0974 ns/op

// BeforeActualRun
WorkloadActual   1: 134217728 op, 915700421.74 ns, 6.8225 ns/op
WorkloadActual   2: 134217728 op, 904798681.51 ns, 6.7413 ns/op
WorkloadActual   3: 134217728 op, 907320882.27 ns, 6.7601 ns/op
WorkloadActual   4: 134217728 op, 907404699.04 ns, 6.7607 ns/op
WorkloadActual   5: 134217728 op, 912402488.16 ns, 6.7979 ns/op
WorkloadActual   6: 134217728 op, 914020665.11 ns, 6.8100 ns/op
WorkloadActual   7: 134217728 op, 907157952.72 ns, 6.7589 ns/op
WorkloadActual   8: 134217728 op, 906040965.88 ns, 6.7505 ns/op
WorkloadActual   9: 134217728 op, 907102359.96 ns, 6.7584 ns/op
WorkloadActual  10: 134217728 op, 906233829.99 ns, 6.7520 ns/op
WorkloadActual  11: 134217728 op, 907953784.46 ns, 6.7648 ns/op
WorkloadActual  12: 134217728 op, 914580013.80 ns, 6.8142 ns/op
WorkloadActual  13: 134217728 op, 911955180.26 ns, 6.7946 ns/op
WorkloadActual  14: 134217728 op, 911284218.41 ns, 6.7896 ns/op
WorkloadActual  15: 134217728 op, 907760065.07 ns, 6.7633 ns/op

// AfterActualRun
WorkloadResult   1: 134217728 op, 448187547.73 ns, 3.3393 ns/op
WorkloadResult   2: 134217728 op, 437285807.51 ns, 3.2580 ns/op
WorkloadResult   3: 134217728 op, 439808008.27 ns, 3.2768 ns/op
