// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\59726c09-6c92-4a1c-b0c0-63ce9f040391
// command took 2.06s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\59726c09-6c92-4a1c-b0c0-63ce9f040391
// command took 2.98s and exited with 0
// ***** Done, took 00:00:05 (5.22 sec)   *****
// Found 6 benchmarks:
//   LocalityBenchmark.RowTraversal: DefaultJob [size=100, array2D=System.Int32[,]]
//   LocalityBenchmark.ColumnTraversal: DefaultJob [size=100, array2D=System.Int32[,]]
//   LocalityBenchmark.RowTraversal: DefaultJob [size=1000, array2D=System.Int32[,]]
//   LocalityBenchmark.ColumnTraversal: DefaultJob [size=1000, array2D=System.Int32[,]]
//   LocalityBenchmark.RowTraversal: DefaultJob [size=10000, array2D=System.Int32[,]]
//   LocalityBenchmark.ColumnTraversal: DefaultJob [size=10000, array2D=System.Int32[,]]

// **************************
// Benchmark: LocalityBenchmark.RowTraversal: DefaultJob [size=100, array2D=System.Int32[,]]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "59726c09-6c92-4a1c-b0c0-63ce9f040391.dll" --benchmarkName "bench.core.LocalityBenchmark.RowTraversal(size: 100, array2D: [])" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\59726c09-6c92-4a1c-b0c0-63ce9f040391\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 536255.63 ns, 536.2556 us/op
WorkloadJitting  1: 1 op, 631190.83 ns, 631.1908 us/op

OverheadJitting  2: 16 op, 492636.75 ns, 30.7898 us/op
WorkloadJitting  2: 16 op, 1083202.16 ns, 67.7001 us/op

WorkloadPilot    1: 16 op, 629907.93 ns, 39.3692 us/op
WorkloadPilot    2: 32 op, 1222183.88 ns, 38.1932 us/op
WorkloadPilot    3: 64 op, 2492690.63 ns, 38.9483 us/op
WorkloadPilot    4: 128 op, 4867781.34 ns, 38.0295 us/op
WorkloadPilot    5: 256 op, 7573434.73 ns, 29.5837 us/op
WorkloadPilot    6: 512 op, 16500765.25 ns, 32.2281 us/op
WorkloadPilot    7: 1024 op, 29387578.11 ns, 28.6988 us/op
WorkloadPilot    8: 2048 op, 70761795.16 ns, 34.5517 us/op
WorkloadPilot    9: 4096 op, 127036990.95 ns, 31.0149 us/op
WorkloadPilot   10: 8192 op, 230352154.02 ns, 28.1192 us/op
WorkloadPilot   11: 16384 op, 377970841.21 ns, 23.0695 us/op
WorkloadPilot   12: 32768 op, 736920430.18 ns, 22.4890 us/op

OverheadWarmup   1: 32768 op, 79967.94 ns, 2.4404 ns/op
OverheadWarmup   2: 32768 op, 84244.31 ns, 2.5709 ns/op
OverheadWarmup   3: 32768 op, 84671.94 ns, 2.5840 ns/op
OverheadWarmup   4: 32768 op, 87237.76 ns, 2.6623 ns/op
OverheadWarmup   5: 32768 op, 91941.75 ns, 2.8058 ns/op
OverheadWarmup   6: 32768 op, 86810.12 ns, 2.6492 ns/op
OverheadWarmup   7: 32768 op, 86382.49 ns, 2.6362 ns/op
OverheadWarmup   8: 32768 op, 85954.85 ns, 2.6231 ns/op
OverheadWarmup   9: 32768 op, 90231.21 ns, 2.7536 ns/op
OverheadWarmup  10: 32768 op, 91514.12 ns, 2.7928 ns/op

OverheadActual   1: 32768 op, 90231.21 ns, 2.7536 ns/op
