// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\89bc7bd3-61c3-423b-8db9-82ca6c7dc058
// command took 8.67s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\89bc7bd3-61c3-423b-8db9-82ca6c7dc058
// command took 12.11s and exited with 0
// ***** Done, took 00:00:21 (21.51 sec)   *****
// Found 4 benchmarks:
//   LoopUnrollingBenchmark.NormalLoop: DefaultJob [size=100, array1D=Int32[0]]
//   LoopUnrollingBenchmark.UnrolledLoop: DefaultJob [size=100, array1D=Int32[0]]
//   LoopUnrollingBenchmark.NormalLoop: DefaultJob [size=1000, array1D=Int32[0]]
//   LoopUnrollingBenchmark.UnrolledLoop: DefaultJob [size=1000, array1D=Int32[0]]

// **************************
// Benchmark: LoopUnrollingBenchmark.NormalLoop: DefaultJob [size=100, array1D=Int32[0]]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "89bc7bd3-61c3-423b-8db9-82ca6c7dc058.dll" --benchmarkName "bench.core.LoopUnrollingBenchmark.NormalLoop(size: 100, array1D: [])" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\89bc7bd3-61c3-423b-8db9-82ca6c7dc058\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 1465083.04 ns, 1.4651 ms/op
WorkloadJitting  1: 1 op, 1769560.31 ns, 1.7696 ms/op

OverheadJitting  2: 16 op, 2920330.44 ns, 182.5207 us/op
WorkloadJitting  2: 16 op, 3148260.76 ns, 196.7663 us/op

WorkloadPilot    1: 16 op, 8980.37 ns, 561.2731 ns/op
WorkloadPilot    2: 32 op, 15822.55 ns, 494.4548 ns/op
WorkloadPilot    3: 64 op, 25230.56 ns, 394.2275 ns/op
WorkloadPilot    4: 128 op, 49605.85 ns, 387.5457 ns/op
WorkloadPilot    5: 256 op, 91086.60 ns, 355.8070 ns/op
WorkloadPilot    6: 512 op, 200133.94 ns, 390.8866 ns/op
WorkloadPilot    7: 1024 op, 357504.21 ns, 349.1252 ns/op
WorkloadPilot    8: 2048 op, 744942.98 ns, 363.7417 ns/op
WorkloadPilot    9: 4096 op, 1620742.77 ns, 395.6892 ns/op
WorkloadPilot   10: 8192 op, 3138425.12 ns, 383.1085 ns/op
WorkloadPilot   11: 16384 op, 6105795.59 ns, 372.6682 ns/op
WorkloadPilot   12: 32768 op, 12042674.71 ns, 367.5133 ns/op
WorkloadPilot   13: 65536 op, 23799688.17 ns, 363.1544 ns/op
WorkloadPilot   14: 131072 op, 48842515.97 ns, 372.6388 ns/op
WorkloadPilot   15: 262144 op, 103205393.01 ns, 393.6973 ns/op
WorkloadPilot   16: 524288 op, 203536212.70 ns, 388.2145 ns/op
WorkloadPilot   17: 1048576 op, 377822080.93 ns, 360.3192 ns/op
WorkloadPilot   18: 2097152 op, 754480990.27 ns, 359.7646 ns/op

OverheadWarmup   1: 2097152 op, 17009674.00 ns, 8.1108 ns/op
OverheadWarmup   2: 2097152 op, 20695901.62 ns, 9.8686 ns/op
OverheadWarmup   3: 2097152 op, 17710570.41 ns, 8.4451 ns/op
