// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\1238d271-62cb-4902-a3a2-694380842125
// command took 3.59s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\1238d271-62cb-4902-a3a2-694380842125
// command took 5.77s and exited with 0
// ***** Done, took 00:00:09 (9.65 sec)   *****
// Found 3 benchmarks:
//   NameParserBenchmark.GetLastName: DefaultJob
//   NameParserBenchmark.GetLastNameUsingSubstring: DefaultJob
//   NameParserBenchmark.GetLastNameWithSpan: DefaultJob

// **************************
// Benchmark: NameParserBenchmark.GetLastName: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1238d271-62cb-4902-a3a2-694380842125.dll" --benchmarkName "bench.core.Span.NameParserBenchmark.GetLastName" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\1238d271-62cb-4902-a3a2-694380842125\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 877509.21 ns, 877.5092 us/op
WorkloadJitting  1: 1 op, 1128531.58 ns, 1.1285 ms/op

OverheadJitting  2: 16 op, 523426.55 ns, 32.7142 us/op
WorkloadJitting  2: 16 op, 799679.44 ns, 49.9800 us/op

WorkloadPilot    1: 16 op, 23519.98 ns, 1.4700 us/op
WorkloadPilot    2: 32 op, 30789.80 ns, 962.1811 ns/op
WorkloadPilot    3: 64 op, 53026.87 ns, 828.5449 ns/op
WorkloadPilot    4: 128 op, 97501.02 ns, 761.7267 ns/op
WorkloadPilot    5: 256 op, 185166.42 ns, 723.3063 ns/op
WorkloadPilot    6: 512 op, 398984.45 ns, 779.2665 ns/op
WorkloadPilot    7: 1024 op, 714152.23 ns, 697.4143 ns/op
WorkloadPilot    8: 2048 op, 1450541.54 ns, 708.2722 ns/op
WorkloadPilot    9: 4096 op, 3119177.47 ns, 761.5179 ns/op
WorkloadPilot   10: 8192 op, 6441909.70 ns, 786.3659 ns/op
WorkloadPilot   11: 16384 op, 12917602.66 ns, 788.4279 ns/op
WorkloadPilot   12: 32768 op, 18179664.45 ns, 554.7993 ns/op
WorkloadPilot   13: 65536 op, 48603832.39 ns, 741.6356 ns/op
WorkloadPilot   14: 131072 op, 86113929.95 ns, 656.9971 ns/op
WorkloadPilot   15: 262144 op, 168704993.98 ns, 643.5585 ns/op
WorkloadPilot   16: 524288 op, 252931338.33 ns, 482.4282 ns/op
WorkloadPilot   17: 1048576 op, 553703606.30 ns, 528.0529 ns/op

OverheadWarmup   1: 1048576 op, 4548337.20 ns, 4.3376 ns/op
OverheadWarmup   2: 1048576 op, 4813899.20 ns, 4.5909 ns/op
OverheadWarmup   3: 1048576 op, 4463665.26 ns, 4.2569 ns/op
OverheadWarmup   4: 1048576 op, 4658239.67 ns, 4.4424 ns/op
OverheadWarmup   5: 1048576 op, 4711694.18 ns, 4.4934 ns/op
OverheadWarmup   6: 1048576 op, 4626166.97 ns, 4.4119 ns/op

OverheadActual   1: 1048576 op, 4560738.65 ns, 4.3495 ns/op
OverheadActual   2: 1048576 op, 4474356.16 ns, 4.2671 ns/op
OverheadActual   3: 1048576 op, 4454257.27 ns, 4.2479 ns/op
OverheadActual   4: 1048576 op, 4343927.16 ns, 4.1427 ns/op
OverheadActual   5: 1048576 op, 3840171.88 ns, 3.6623 ns/op
OverheadActual   6: 1048576 op, 4613337.88 ns, 4.3996 ns/op
OverheadActual   7: 1048576 op, 4336657.35 ns, 4.1358 ns/op
OverheadActual   8: 1048576 op, 4549192.47 ns, 4.3384 ns/op
OverheadActual   9: 1048576 op, 4739918.16 ns, 4.5203 ns/op
OverheadActual  10: 1048576 op, 4620180.06 ns, 4.4061 ns/op
OverheadActual  11: 1048576 op, 3660992.36 ns, 3.4914 ns/op
OverheadActual  12: 1048576 op, 3796553.00 ns, 3.6207 ns/op
OverheadActual  13: 1048576 op, 4409355.48 ns, 4.2051 ns/op
OverheadActual  14: 1048576 op, 3947936.16 ns, 3.7650 ns/op
OverheadActual  15: 1048576 op, 3938100.53 ns, 3.7557 ns/op
OverheadActual  16: 1048576 op, 4024055.38 ns, 3.8376 ns/op
OverheadActual  17: 1048576 op, 4473928.53 ns, 4.2667 ns/op
OverheadActual  18: 1048576 op, 4422612.20 ns, 4.2177 ns/op
OverheadActual  19: 1048576 op, 4392677.67 ns, 4.1892 ns/op
OverheadActual  20: 1048576 op, 4325966.45 ns, 4.1256 ns/op

WorkloadWarmup   1: 1048576 op, 529588353.25 ns, 505.0548 ns/op
WorkloadWarmup   2: 1048576 op, 571560405.52 ns, 545.0825 ns/op
WorkloadWarmup   3: 1048576 op, 588175349.60 ns, 560.9277 ns/op
WorkloadWarmup   4: 1048576 op, 565198891.40 ns, 539.0157 ns/op
WorkloadWarmup   5: 1048576 op, 559909460.89 ns, 533.9713 ns/op
WorkloadWarmup   6: 1048576 op, 646333854.62 ns, 616.3920 ns/op
WorkloadWarmup   7: 1048576 op, 575810252.75 ns, 549.1354 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 579718418.76 ns, 552.8626 ns/op
WorkloadActual   2: 1048576 op, 532045977.72 ns, 507.3986 ns/op
WorkloadActual   3: 1048576 op, 588033374.43 ns, 560.7923 ns/op
WorkloadActual   4: 1048576 op, 609867616.70 ns, 581.6151 ns/op
WorkloadActual   5: 1048576 op, 441815623.00 ns, 421.3482 ns/op
WorkloadActual   6: 1048576 op, 481965945.63 ns, 459.6385 ns/op
WorkloadActual   7: 1048576 op, 460230059.65 ns, 438.9096 ns/op
WorkloadActual   8: 1048576 op, 491980754.67 ns, 469.1894 ns/op
WorkloadActual   9: 1048576 op, 481188503.26 ns, 458.8971 ns/op
WorkloadActual  10: 1048576 op, 553063007.47 ns, 527.4420 ns/op
WorkloadActual  11: 1048576 op, 471508533.26 ns, 449.6656 ns/op
WorkloadActual  12: 1048576 op, 462099684.53 ns, 440.6926 ns/op
WorkloadActual  13: 1048576 op, 411286684.23 ns, 392.2335 ns/op
WorkloadActual  14: 1048576 op, 441721543.06 ns, 421.2585 ns/op
WorkloadActual  15: 1048576 op, 450599267.80 ns, 429.7249 ns/op
WorkloadActual  16: 1048576 op, 552762379.32 ns, 527.1553 ns/op
WorkloadActual  17: 1048576 op, 495808525.10 ns, 472.8399 ns/op
WorkloadActual  18: 1048576 op, 490093169.07 ns, 467.3893 ns/op
WorkloadActual  19: 1048576 op, 538053409.18 ns, 513.1277 ns/op
WorkloadActual  20: 1048576 op, 444166766.09 ns, 423.5904 ns/op
WorkloadActual  21: 1048576 op, 514485957.93 ns, 490.6520 ns/op
WorkloadActual  22: 1048576 op, 537603963.67 ns, 512.6991 ns/op
WorkloadActual  23: 1048576 op, 542337039.66 ns, 517.2129 ns/op
WorkloadActual  24: 1048576 op, 438645556.84 ns, 418.3250 ns/op
WorkloadActual  25: 1048576 op, 503797194.45 ns, 480.4584 ns/op
WorkloadActual  26: 1048576 op, 436600601.17 ns, 416.3748 ns/op
WorkloadActual  27: 1048576 op, 461102009.59 ns, 439.7411 ns/op
WorkloadActual  28: 1048576 op, 458625569.13 ns, 437.3794 ns/op
WorkloadActual  29: 1048576 op, 446779194.82 ns, 426.0818 ns/op
WorkloadActual  30: 1048576 op, 447843153.35 ns, 427.0965 ns/op
WorkloadActual  31: 1048576 op, 425792099.59 ns, 406.0670 ns/op
WorkloadActual  32: 1048576 op, 491988024.48 ns, 469.1963 ns/op
WorkloadActual  33: 1048576 op, 425547064.13 ns, 405.8333 ns/op
WorkloadActual  34: 1048576 op, 478814267.82 ns, 456.6329 ns/op
WorkloadActual  35: 1048576 op, 510591903.91 ns, 486.9384 ns/op
WorkloadActual  36: 1048576 op, 456861570.36 ns, 435.6971 ns/op
WorkloadActual  37: 1048576 op, 476944215.30 ns, 454.8494 ns/op
WorkloadActual  38: 1048576 op, 467302732.55 ns, 445.6546 ns/op
WorkloadActual  39: 1048576 op, 443397448.81 ns, 422.8568 ns/op
WorkloadActual  40: 1048576 op, 437913016.26 ns, 417.6264 ns/op
WorkloadActual  41: 1048576 op, 478379789.58 ns, 456.2185 ns/op
WorkloadActual  42: 1048576 op, 478950256.09 ns, 456.7626 ns/op
WorkloadActual  43: 1048576 op, 429642962.37 ns, 409.7395 ns/op
WorkloadActual  44: 1048576 op, 440187612.50 ns, 419.7956 ns/op
WorkloadActual  45: 1048576 op, 417829943.68 ns, 398.4737 ns/op
WorkloadActual  46: 1048576 op, 449064909.60 ns, 428.2617 ns/op
WorkloadActual  47: 1048576 op, 641759859.26 ns, 612.0299 ns/op
WorkloadActual  48: 1048576 op, 466231504.21 ns, 444.6330 ns/op
WorkloadActual  49: 1048576 op, 435735493.41 ns, 415.5497 ns/op
WorkloadActual  50: 1048576 op, 708263254.47 ns, 675.4525 ns/op
WorkloadActual  51: 1048576 op, 418521858.83 ns, 399.1335 ns/op
WorkloadActual  52: 1048576 op, 474306128.41 ns, 452.3336 ns/op
WorkloadActual  53: 1048576 op, 472203014.24 ns, 450.3279 ns/op
