// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\ebbaf7cf-4f2f-413f-a27c-78250db2e136
// command took 3.73s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\ebbaf7cf-4f2f-413f-a27c-78250db2e136
// command took 4.78s and exited with 0
// ***** Done, took 00:00:08 (8.86 sec)   *****
// Found 9 benchmarks:
//   BuilderBenchmark.UseString: DefaultJob [Count=10]
//   BuilderBenchmark.UseStringBuilder: DefaultJob [Count=10]
//   BuilderBenchmark.UseValueStringBuilder: DefaultJob [Count=10]
//   BuilderBenchmark.UseString: DefaultJob [Count=100]
//   BuilderBenchmark.UseStringBuilder: DefaultJob [Count=100]
//   BuilderBenchmark.UseValueStringBuilder: DefaultJob [Count=100]
//   BuilderBenchmark.UseString: DefaultJob [Count=1000]
//   BuilderBenchmark.UseStringBuilder: DefaultJob [Count=1000]
//   BuilderBenchmark.UseValueStringBuilder: DefaultJob [Count=1000]

// **************************
// Benchmark: BuilderBenchmark.UseString: DefaultJob [Count=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ebbaf7cf-4f2f-413f-a27c-78250db2e136.dll" --benchmarkName "bench.core.StringConcat.BuilderBenchmark.UseString(Count: 10)" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp3.1\ebbaf7cf-4f2f-413f-a27c-78250db2e136\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 763758.01 ns, 763.7580 us/op
WorkloadJitting  1: 1 op, 12619112.68 ns, 12.6191 ms/op

OverheadJitting  2: 16 op, 1533502.93 ns, 95.8439 us/op
WorkloadJitting  2: 16 op, 3791421.36 ns, 236.9638 us/op

WorkloadPilot    1: 16 op, 1400080.48 ns, 87.5050 us/op
WorkloadPilot    2: 32 op, 2905787.07 ns, 90.8058 us/op
WorkloadPilot    3: 64 op, 5523775.07 ns, 86.3090 us/op
WorkloadPilot    4: 128 op, 10862383.72 ns, 84.8624 us/op
WorkloadPilot    5: 256 op, 26383434.75 ns, 103.0603 us/op
WorkloadPilot    6: 512 op, 42107185.27 ns, 82.2406 us/op
WorkloadPilot    7: 1024 op, 97179440.80 ns, 94.9018 us/op
WorkloadPilot    8: 2048 op, 169546581.76 ns, 82.7864 us/op
WorkloadPilot    9: 4096 op, 354863954.00 ns, 86.6367 us/op
WorkloadPilot   10: 8192 op, 762589285.07 ns, 93.0895 us/op

OverheadWarmup   1: 8192 op, 75263.95 ns, 9.1875 ns/op
OverheadWarmup   2: 8192 op, 70132.31 ns, 8.5611 ns/op
OverheadWarmup   3: 8192 op, 82533.76 ns, 10.0749 ns/op
OverheadWarmup   4: 8192 op, 96645.75 ns, 11.7976 ns/op
OverheadWarmup   5: 8192 op, 106481.38 ns, 12.9982 ns/op
OverheadWarmup   6: 8192 op, 85099.58 ns, 10.3881 ns/op
OverheadWarmup   7: 8192 op, 132139.54 ns, 16.1303 ns/op
OverheadWarmup   8: 8192 op, 135133.00 ns, 16.4957 ns/op
OverheadWarmup   9: 8192 op, 90231.21 ns, 11.0146 ns/op

OverheadActual   1: 8192 op, 70132.31 ns, 8.5611 ns/op
OverheadActual   2: 8192 op, 70559.95 ns, 8.6133 ns/op
OverheadActual   3: 8192 op, 70987.59 ns, 8.6655 ns/op
OverheadActual   4: 8192 op, 70559.95 ns, 8.6133 ns/op
OverheadActual   5: 8192 op, 79540.31 ns, 9.7095 ns/op
