Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,SizeInBytes,Mean,Error,StdDev,Median,Rank,Gen 0,Gen 1,Gen 2,Allocated
Allocate,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,23.13 ns,0.293 ns,0.260 ns,23.12 ns,1,0.0612,0.0000,0.0000,128 B
RentAndReturn_Shared,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,74.35 ns,0.239 ns,0.224 ns,74.39 ns,2,0.0000,0.0000,0.0000,0 B
RentAndReturn_Aware,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,87.51 ns,0.574 ns,0.479 ns,87.41 ns,6,0.0000,0.0000,0.0000,0 B
Allocate,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,122.83 ns,2.505 ns,4.185 ns,120.93 ns,8,0.4895,0.0000,0.0000,1024 B
RentAndReturn_Shared,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,84.77 ns,0.128 ns,0.107 ns,84.76 ns,5,0.0000,0.0000,0.0000,0 B
RentAndReturn_Aware,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,87.38 ns,0.183 ns,0.171 ns,87.34 ns,6,0.0000,0.0000,0.0000,0 B
Allocate,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,"1,111.65 ns",21.534 ns,29.476 ns,"1,105.35 ns",9,4.7836,0.0000,0.0000,10024 B
RentAndReturn_Shared,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,77.95 ns,0.354 ns,0.331 ns,77.92 ns,4,0.0000,0.0000,0.0000,0 B
RentAndReturn_Aware,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,86.64 ns,0.220 ns,0.195 ns,86.63 ns,6,0.0000,0.0000,0.0000,0 B
Allocate,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,"9,954.09 ns",170.008 ns,141.964 ns,"9,987.24 ns",10,31.2347,31.2347,31.2347,100024 B
RentAndReturn_Shared,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,74.77 ns,0.187 ns,0.156 ns,74.69 ns,2,0.0000,0.0000,0.0000,0 B
RentAndReturn_Aware,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,87.48 ns,0.211 ns,0.187 ns,87.47 ns,6,0.0000,0.0000,0.0000,0 B
Allocate,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,"58,041.89 ns","1,141.891 ns","2,306.675 ns","59,095.29 ns",11,249.9390,249.9390,249.9390,1000024 B
RentAndReturn_Shared,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,76.07 ns,0.750 ns,0.665 ns,76.24 ns,3,0.0000,0.0000,0.0000,0 B
RentAndReturn_Aware,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,90.53 ns,0.626 ns,0.585 ns,90.48 ns,7,0.0000,0.0000,0.0000,0 B
Allocate,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,"411,724.08 ns","2,776.060 ns","2,318.136 ns","412,024.32 ns",13,134.7656,134.7656,134.7656,10000021 B
RentAndReturn_Shared,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,"97,363.65 ns","1,945.080 ns","3,700.716 ns","97,904.78 ns",12,109.2529,109.2529,109.2529,10000017 B
RentAndReturn_Aware,Job-NDQKKO,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,False,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,86.74 ns,0.394 ns,0.369 ns,86.76 ns,6,0.0000,0.0000,0.0000,0 B
