// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\02913f06-1cfb-49d6-bc6d-4a24e1e539e6
// command took 3.04s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\02913f06-1cfb-49d6-bc6d-4a24e1e539e6
// command took 14.49s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\02913f06-1cfb-49d6-bc6d-4a24e1e539e6
// command took 4.31s and exited with 0
// ***** Done, took 00:00:22 (22.15 sec)   *****
// Found 6 benchmarks:
//   Builder.GetConcatenated: DefaultJob [count=100]
//   Builder.GetBuilder: DefaultJob [count=100]
//   Builder.GetConcatenated: DefaultJob [count=1000]
//   Builder.GetBuilder: DefaultJob [count=1000]
//   Builder.GetConcatenated: DefaultJob [count=100000]
//   Builder.GetBuilder: DefaultJob [count=100000]

// **************************
// Benchmark: Builder.GetConcatenated: DefaultJob [count=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "02913f06-1cfb-49d6-bc6d-4a24e1e539e6.dll" --benchmarkName "bench.core.Builder.GetConcatenated(count: 100)" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\02913f06-1cfb-49d6-bc6d-4a24e1e539e6\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.15 (CoreCLR 4.6.28325.01, CoreFX 4.6.28327.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 934384.01 ns, 934.3840 us/op
WorkloadJitting  1: 1 op, 10490759.01 ns, 10.4908 ms/op

OverheadJitting  2: 16 op, 1770411.80 ns, 110.6507 us/op
WorkloadJitting  2: 16 op, 80555875.09 ns, 5.0347 ms/op

WorkloadPilot    1: 16 op, 79305040.67 ns, 4.9566 ms/op
WorkloadPilot    2: 32 op, 167053748.25 ns, 5.2204 ms/op
WorkloadPilot    3: 64 op, 301513531.04 ns, 4.7111 ms/op
WorkloadPilot    4: 128 op, 602769197.74 ns, 4.7091 ms/op

OverheadWarmup   1: 128 op, 4703.99 ns, 36.7499 ns/op
OverheadWarmup   2: 128 op, 2565.81 ns, 20.0454 ns/op
OverheadWarmup   3: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadWarmup   4: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadWarmup   5: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadWarmup   6: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadWarmup   7: 128 op, 1710.54 ns, 13.3636 ns/op

OverheadActual   1: 128 op, 2565.81 ns, 20.0454 ns/op
OverheadActual   2: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual   3: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual   4: 128 op, 2565.81 ns, 20.0454 ns/op
OverheadActual   5: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual   6: 128 op, 2565.81 ns, 20.0454 ns/op
OverheadActual   7: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual   8: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual   9: 128 op, 2565.81 ns, 20.0454 ns/op
OverheadActual  10: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadActual  11: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadActual  12: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual  13: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual  14: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadActual  15: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual  16: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadActual  17: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadActual  18: 128 op, 2138.18 ns, 16.7045 ns/op
OverheadActual  19: 128 op, 1710.54 ns, 13.3636 ns/op
OverheadActual  20: 128 op, 1710.54 ns, 13.3636 ns/op

WorkloadWarmup   1: 128 op, 618332571.43 ns, 4.8307 ms/op
WorkloadWarmup   2: 128 op, 607427005.79 ns, 4.7455 ms/op
WorkloadWarmup   3: 128 op, 606224921.84 ns, 4.7361 ms/op
WorkloadWarmup   4: 128 op, 610207493.12 ns, 4.7672 ms/op
WorkloadWarmup   5: 128 op, 600479636.20 ns, 4.6912 ms/op
WorkloadWarmup   6: 128 op, 601880143.12 ns, 4.7022 ms/op
WorkloadWarmup   7: 128 op, 603329828.15 ns, 4.7135 ms/op
WorkloadWarmup   8: 128 op, 603859241.14 ns, 4.7177 ms/op
WorkloadWarmup   9: 128 op, 770766310.35 ns, 6.0216 ms/op
WorkloadWarmup  10: 128 op, 745871498.04 ns, 5.8271 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 644452560.02 ns, 5.0348 ms/op
WorkloadActual   2: 128 op, 617641939.77 ns, 4.8253 ms/op
WorkloadActual   3: 128 op, 807115344.89 ns, 6.3056 ms/op
WorkloadActual   4: 128 op, 628539807.97 ns, 4.9105 ms/op
WorkloadActual   5: 128 op, 634600688.75 ns, 4.9578 ms/op
WorkloadActual   6: 128 op, 627158972.29 ns, 4.8997 ms/op
WorkloadActual   7: 128 op, 626573111.38 ns, 4.8951 ms/op
WorkloadActual   8: 128 op, 607768259.08 ns, 4.7482 ms/op
WorkloadActual   9: 128 op, 619461102.04 ns, 4.8395 ms/op
WorkloadActual  10: 128 op, 635630435.52 ns, 4.9659 ms/op
WorkloadActual  11: 128 op, 646235800.89 ns, 5.0487 ms/op
WorkloadActual  12: 128 op, 637141272.45 ns, 4.9777 ms/op
WorkloadActual  13: 128 op, 635740337.89 ns, 4.9667 ms/op
WorkloadActual  14: 128 op, 604206908.97 ns, 4.7204 ms/op
WorkloadActual  15: 128 op, 609221792.83 ns, 4.7595 ms/op
WorkloadActual  16: 128 op, 626937457.00 ns, 4.8979 ms/op
WorkloadActual  17: 128 op, 642282736.48 ns, 5.0178 ms/op
WorkloadActual  18: 128 op, 647049163.99 ns, 5.0551 ms/op
WorkloadActual  19: 128 op, 628232765.53 ns, 4.9081 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 644450421.84 ns, 5.0348 ms/op
WorkloadResult   2: 128 op, 617639801.59 ns, 4.8253 ms/op
WorkloadResult   3: 128 op, 628537669.79 ns, 4.9105 ms/op
WorkloadResult   4: 128 op, 634598550.57 ns, 4.9578 ms/op
WorkloadResult   5: 128 op, 627156834.11 ns, 4.8997 ms/op
WorkloadResult   6: 128 op, 626570973.20 ns, 4.8951 ms/op
WorkloadResult   7: 128 op, 607766120.90 ns, 4.7482 ms/op
WorkloadResult   8: 128 op, 619458963.86 ns, 4.8395 ms/op
WorkloadResult   9: 128 op, 635628297.34 ns, 4.9658 ms/op
WorkloadResult  10: 128 op, 646233662.71 ns, 5.0487 ms/op
WorkloadResult  11: 128 op, 637139134.27 ns, 4.9776 ms/op
WorkloadResult  12: 128 op, 635738199.71 ns, 4.9667 ms/op
WorkloadResult  13: 128 op, 604204770.79 ns, 4.7203 ms/op
WorkloadResult  14: 128 op, 609219654.65 ns, 4.7595 ms/op
WorkloadResult  15: 128 op, 626935318.82 ns, 4.8979 ms/op
WorkloadResult  16: 128 op, 642280598.30 ns, 5.0178 ms/op
WorkloadResult  17: 128 op, 647047025.82 ns, 5.0551 ms/op
WorkloadResult  18: 128 op, 628230627.35 ns, 4.9081 ms/op

// AfterAll
// Benchmark Process 3632 has exited with code 0

Mean = 4.9127 ms, StdErr = 0.0241 ms (0.49%); N = 18, StdDev = 0.1023 ms
Min = 4.7203 ms, Q1 = 4.8395 ms, Median = 4.9093 ms, Q3 = 4.9776 ms, Max = 5.0551 ms
IQR = 0.1381 ms, LowerFence = 4.6323 ms, UpperFence = 5.1848 ms
ConfidenceInterval = [4.8171 ms; 5.0083 ms] (CI 99.9%), Margin = 0.0956 ms (1.95% of Mean)
Skewness = -0.37, Kurtosis = 1.96, MValue = 2

// **************************
// Benchmark: Builder.GetBuilder: DefaultJob [count=100]
// *** Execute ***
// Launch: 1 / 1
