// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\0110b9ad-8c2c-43b5-8595-08793b5f422e
// command took 3.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\0110b9ad-8c2c-43b5-8595-08793b5f422e
// command took 15.38s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\0110b9ad-8c2c-43b5-8595-08793b5f422e
// command took 4.95s and exited with 0
// ***** Done, took 00:00:23 (23.73 sec)   *****
// Found 4 benchmarks:
//   BuilderBenchmark.GetConcatenated: Job-QKUBET(Runtime=.NET Core 3.1) [Count=1000]
//   BuilderBenchmark.GetBuilder: Job-QKUBET(Runtime=.NET Core 3.1) [Count=1000]
//   BuilderBenchmark.GetConcatenated: Job-QKUBET(Runtime=.NET Core 3.1) [Count=100000]
//   BuilderBenchmark.GetBuilder: Job-QKUBET(Runtime=.NET Core 3.1) [Count=100000]

// **************************
// Benchmark: BuilderBenchmark.GetConcatenated: Job-QKUBET(Runtime=.NET Core 3.1) [Count=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0110b9ad-8c2c-43b5-8595-08793b5f422e.dll" --benchmarkName "bench.core.BuilderBenchmark.GetConcatenated(Count: 1000)" --job "Runtime=.NET Core 3.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\0110b9ad-8c2c-43b5-8595-08793b5f422e\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.1 (CoreCLR 4.700.19.60701, CoreFX 4.700.19.60801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 680368.40 ns, 680.3684 us/op
WorkloadJitting  1: 1 op, 659002864.73 ns, 659.0029 ms/op

WorkloadWarmup   1: 1 op, 625455271.66 ns, 625.4553 ms/op
WorkloadWarmup   2: 1 op, 712532591.19 ns, 712.5326 ms/op
WorkloadWarmup   3: 1 op, 676180135.55 ns, 676.1801 ms/op
WorkloadWarmup   4: 1 op, 694763472.56 ns, 694.7635 ms/op
WorkloadWarmup   5: 1 op, 623565121.86 ns, 623.5651 ms/op
WorkloadWarmup   6: 1 op, 636361264.93 ns, 636.3613 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 686585367.42 ns, 686.5854 ms/op
WorkloadActual   2: 1 op, 728547120.54 ns, 728.5471 ms/op
WorkloadActual   3: 1 op, 783709132.46 ns, 783.7091 ms/op
WorkloadActual   4: 1 op, 612414520.97 ns, 612.4145 ms/op
WorkloadActual   5: 1 op, 597519114.25 ns, 597.5191 ms/op
WorkloadActual   6: 1 op, 535348580.83 ns, 535.3486 ms/op
WorkloadActual   7: 1 op, 567344711.58 ns, 567.3447 ms/op
WorkloadActual   8: 1 op, 539491943.13 ns, 539.4919 ms/op
WorkloadActual   9: 1 op, 490049558.70 ns, 490.0496 ms/op
WorkloadActual  10: 1 op, 626449524.66 ns, 626.4495 ms/op
WorkloadActual  11: 1 op, 701199817.49 ns, 701.1998 ms/op
WorkloadActual  12: 1 op, 669048882.61 ns, 669.0489 ms/op
WorkloadActual  13: 1 op, 667094587.46 ns, 667.0946 ms/op
WorkloadActual  14: 1 op, 627137590.50 ns, 627.1376 ms/op
WorkloadActual  15: 1 op, 575535218.15 ns, 575.5352 ms/op
WorkloadActual  16: 1 op, 560592343.87 ns, 560.5923 ms/op
WorkloadActual  17: 1 op, 683115531.34 ns, 683.1155 ms/op
WorkloadActual  18: 1 op, 740629111.98 ns, 740.6291 ms/op
WorkloadActual  19: 1 op, 741103359.98 ns, 741.1034 ms/op
WorkloadActual  20: 1 op, 684569920.36 ns, 684.5699 ms/op
WorkloadActual  21: 1 op, 597278355.35 ns, 597.2784 ms/op
WorkloadActual  22: 1 op, 655748557.05 ns, 655.7486 ms/op
WorkloadActual  23: 1 op, 549312596.99 ns, 549.3126 ms/op
WorkloadActual  24: 1 op, 537493601.50 ns, 537.4936 ms/op
WorkloadActual  25: 1 op, 654326240.71 ns, 654.3262 ms/op
WorkloadActual  26: 1 op, 515820168.92 ns, 515.8202 ms/op
WorkloadActual  27: 1 op, 582603608.65 ns, 582.6036 ms/op
WorkloadActual  28: 1 op, 586461310.30 ns, 586.4613 ms/op
WorkloadActual  29: 1 op, 666425337.59 ns, 666.4253 ms/op
WorkloadActual  30: 1 op, 603066404.55 ns, 603.0664 ms/op
WorkloadActual  31: 1 op, 663737219.57 ns, 663.7372 ms/op
WorkloadActual  32: 1 op, 612435047.48 ns, 612.4350 ms/op
WorkloadActual  33: 1 op, 548544990.91 ns, 548.5450 ms/op
WorkloadActual  34: 1 op, 594646685.25 ns, 594.6467 ms/op
WorkloadActual  35: 1 op, 739342783.80 ns, 739.3428 ms/op
WorkloadActual  36: 1 op, 695434005.33 ns, 695.4340 ms/op
WorkloadActual  37: 1 op, 736522526.35 ns, 736.5225 ms/op
WorkloadActual  38: 1 op, 533286521.48 ns, 533.2865 ms/op
WorkloadActual  39: 1 op, 588330078.31 ns, 588.3301 ms/op
WorkloadActual  40: 1 op, 571306756.34 ns, 571.3068 ms/op
WorkloadActual  41: 1 op, 700079411.95 ns, 700.0794 ms/op
WorkloadActual  42: 1 op, 672902735.54 ns, 672.9027 ms/op
WorkloadActual  43: 1 op, 682637434.63 ns, 682.6374 ms/op
WorkloadActual  44: 1 op, 626493143.50 ns, 626.4931 ms/op
WorkloadActual  45: 1 op, 520122611.71 ns, 520.1226 ms/op
WorkloadActual  46: 1 op, 621679248.42 ns, 621.6792 ms/op
WorkloadActual  47: 1 op, 480665093.25 ns, 480.6651 ms/op
WorkloadActual  48: 1 op, 498489376.89 ns, 498.4894 ms/op
WorkloadActual  49: 1 op, 515285624.30 ns, 515.2856 ms/op
WorkloadActual  50: 1 op, 500850353.59 ns, 500.8504 ms/op
WorkloadActual  51: 1 op, 530187445.56 ns, 530.1874 ms/op
WorkloadActual  52: 1 op, 513551561.53 ns, 513.5516 ms/op
WorkloadActual  53: 1 op, 474722239.92 ns, 474.7222 ms/op
WorkloadActual  54: 1 op, 637558217.26 ns, 637.5582 ms/op
WorkloadActual  55: 1 op, 616275643.71 ns, 616.2756 ms/op
WorkloadActual  56: 1 op, 518457398.29 ns, 518.4574 ms/op
WorkloadActual  57: 1 op, 502647278.80 ns, 502.6473 ms/op
WorkloadActual  58: 1 op, 531878744.75 ns, 531.8787 ms/op
WorkloadActual  59: 1 op, 479585313.11 ns, 479.5853 ms/op
WorkloadActual  60: 1 op, 564011291.29 ns, 564.0113 ms/op
WorkloadActual  61: 1 op, 491226839.79 ns, 491.2268 ms/op
WorkloadActual  62: 1 op, 491416282.40 ns, 491.4163 ms/op
WorkloadActual  63: 1 op, 485013293.06 ns, 485.0133 ms/op
WorkloadActual  64: 1 op, 505594544.05 ns, 505.5945 ms/op
