// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\efc7bbcf-e321-4b00-99ad-d9896983df30
// command took 1.98s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\efc7bbcf-e321-4b00-99ad-d9896983df30
// command took 13.08s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\efc7bbcf-e321-4b00-99ad-d9896983df30
// command took 2.85s and exited with 0
// ***** Done, took 00:00:18 (18.1 sec)   *****
// Found 4 benchmarks:
//   BuilderBenchmark.GetConcatenated: Job-HOBBEA(Runtime=.NET Core 3.1) [Count=1000]
//   BuilderBenchmark.GetBuilder: Job-HOBBEA(Runtime=.NET Core 3.1) [Count=1000]
//   BuilderBenchmark.GetConcatenated: Job-HOBBEA(Runtime=.NET Core 3.1) [Count=2000]
//   BuilderBenchmark.GetBuilder: Job-HOBBEA(Runtime=.NET Core 3.1) [Count=2000]

// **************************
// Benchmark: BuilderBenchmark.GetConcatenated: Job-HOBBEA(Runtime=.NET Core 3.1) [Count=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "efc7bbcf-e321-4b00-99ad-d9896983df30.dll" --benchmarkName "bench.core.BuilderBenchmark.GetConcatenated(Count: 1000)" --job "Runtime=.NET Core 3.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\efc7bbcf-e321-4b00-99ad-d9896983df30\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.1 (CoreCLR 4.700.19.60701, CoreFX 4.700.19.60801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 457570.20 ns, 457.5702 us/op
WorkloadJitting  1: 1 op, 357080941.60 ns, 357.0809 ms/op

WorkloadWarmup   1: 1 op, 348305001.76 ns, 348.3050 ms/op
WorkloadWarmup   2: 1 op, 323669336.68 ns, 323.6693 ms/op
WorkloadWarmup   3: 1 op, 357656539.26 ns, 357.6565 ms/op
WorkloadWarmup   4: 1 op, 341789971.86 ns, 341.7900 ms/op
WorkloadWarmup   5: 1 op, 320888849.36 ns, 320.8888 ms/op
WorkloadWarmup   6: 1 op, 331502767.44 ns, 331.5028 ms/op
WorkloadWarmup   7: 1 op, 313839702.47 ns, 313.8397 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 322780709.70 ns, 322.7807 ms/op
WorkloadActual   2: 1 op, 425843479.35 ns, 425.8435 ms/op
WorkloadActual   3: 1 op, 404491201.18 ns, 404.4912 ms/op
WorkloadActual   4: 1 op, 428789461.69 ns, 428.7895 ms/op
WorkloadActual   5: 1 op, 319914267.59 ns, 319.9143 ms/op
WorkloadActual   6: 1 op, 375337992.57 ns, 375.3380 ms/op
WorkloadActual   7: 1 op, 317608883.53 ns, 317.6089 ms/op
WorkloadActual   8: 1 op, 330563251.81 ns, 330.5633 ms/op
WorkloadActual   9: 1 op, 336869595.49 ns, 336.8696 ms/op
WorkloadActual  10: 1 op, 333626833.97 ns, 333.6268 ms/op
WorkloadActual  11: 1 op, 322829032.53 ns, 322.8290 ms/op
WorkloadActual  12: 1 op, 322114880.91 ns, 322.1149 ms/op
WorkloadActual  13: 1 op, 333738874.52 ns, 333.7389 ms/op
WorkloadActual  14: 1 op, 331136283.65 ns, 331.1363 ms/op
WorkloadActual  15: 1 op, 315804688.51 ns, 315.8047 ms/op
WorkloadActual  16: 1 op, 309700616.52 ns, 309.7006 ms/op
WorkloadActual  17: 1 op, 359689091.74 ns, 359.6891 ms/op
WorkloadActual  18: 1 op, 325782712.31 ns, 325.7827 ms/op
WorkloadActual  19: 1 op, 332462809.59 ns, 332.4628 ms/op
WorkloadActual  20: 1 op, 333140612.18 ns, 333.1406 ms/op
WorkloadActual  21: 1 op, 314176251.76 ns, 314.1763 ms/op
WorkloadActual  22: 1 op, 319531106.01 ns, 319.5311 ms/op
WorkloadActual  23: 1 op, 362260037.57 ns, 362.2600 ms/op
WorkloadActual  24: 1 op, 323840818.60 ns, 323.8408 ms/op
WorkloadActual  25: 1 op, 337917302.95 ns, 337.9173 ms/op
WorkloadActual  26: 1 op, 334939675.57 ns, 334.9397 ms/op
WorkloadActual  27: 1 op, 317953130.27 ns, 317.9531 ms/op
WorkloadActual  28: 1 op, 313206374.00 ns, 313.2064 ms/op
WorkloadActual  29: 1 op, 363595971.50 ns, 363.5960 ms/op
WorkloadActual  30: 1 op, 394645316.81 ns, 394.6453 ms/op
WorkloadActual  31: 1 op, 393159282.75 ns, 393.1593 ms/op
WorkloadActual  32: 1 op, 331236350.40 ns, 331.2364 ms/op
WorkloadActual  33: 1 op, 336652784.19 ns, 336.6528 ms/op
WorkloadActual  34: 1 op, 331960337.64 ns, 331.9603 ms/op
WorkloadActual  35: 1 op, 314736454.53 ns, 314.7365 ms/op
WorkloadActual  36: 1 op, 361952995.14 ns, 361.9530 ms/op
WorkloadActual  37: 1 op, 331283817.97 ns, 331.2838 ms/op
WorkloadActual  38: 1 op, 320439404.24 ns, 320.4394 ms/op
WorkloadActual  39: 1 op, 345615173.20 ns, 345.6152 ms/op
WorkloadActual  40: 1 op, 377420578.43 ns, 377.4206 ms/op
WorkloadActual  41: 1 op, 322916270.21 ns, 322.9163 ms/op
WorkloadActual  42: 1 op, 336170411.12 ns, 336.1704 ms/op
WorkloadActual  43: 1 op, 317312104.36 ns, 317.3121 ms/op
WorkloadActual  44: 1 op, 323348182.27 ns, 323.3482 ms/op
WorkloadActual  45: 1 op, 338444150.14 ns, 338.4442 ms/op
WorkloadActual  46: 1 op, 336839233.35 ns, 336.8392 ms/op
WorkloadActual  47: 1 op, 317048253.13 ns, 317.0483 ms/op
WorkloadActual  48: 1 op, 321817674.10 ns, 321.8177 ms/op
WorkloadActual  49: 1 op, 334142134.99 ns, 334.1421 ms/op
WorkloadActual  50: 1 op, 334826352.11 ns, 334.8264 ms/op
WorkloadActual  51: 1 op, 317172267.48 ns, 317.1723 ms/op
WorkloadActual  52: 1 op, 401110740.97 ns, 401.1107 ms/op
WorkloadActual  53: 1 op, 319126135.00 ns, 319.1261 ms/op
WorkloadActual  54: 1 op, 322085374.05 ns, 322.0854 ms/op
WorkloadActual  55: 1 op, 332576133.05 ns, 332.5761 ms/op
WorkloadActual  56: 1 op, 335359186.19 ns, 335.3592 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 322780709.70 ns, 322.7807 ms/op
WorkloadResult   2: 1 op, 319914267.59 ns, 319.9143 ms/op
WorkloadResult   3: 1 op, 317608883.53 ns, 317.6089 ms/op
WorkloadResult   4: 1 op, 330563251.81 ns, 330.5633 ms/op
WorkloadResult   5: 1 op, 336869595.49 ns, 336.8696 ms/op
WorkloadResult   6: 1 op, 333626833.97 ns, 333.6268 ms/op
WorkloadResult   7: 1 op, 322829032.53 ns, 322.8290 ms/op
WorkloadResult   8: 1 op, 322114880.91 ns, 322.1149 ms/op
WorkloadResult   9: 1 op, 333738874.52 ns, 333.7389 ms/op
