// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:20 (20.08 sec)   *****
// Found 8 benchmarks:
//   BuilderBenchmark.GetConcatenated: Job-HCZBFZ(Runtime=.NET Core 3.1) [Count=10000]
//   BuilderBenchmark.GetBuilder: Job-HCZBFZ(Runtime=.NET Core 3.1) [Count=10000]
//   BuilderBenchmark.GetConcatenated: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=10000]
//   BuilderBenchmark.GetBuilder: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=10000]
//   BuilderBenchmark.GetConcatenated: Job-HCZBFZ(Runtime=.NET Core 3.1) [Count=20000]
//   BuilderBenchmark.GetBuilder: Job-HCZBFZ(Runtime=.NET Core 3.1) [Count=20000]
//   BuilderBenchmark.GetConcatenated: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=20000]
//   BuilderBenchmark.GetBuilder: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=20000]

// **************************
// Benchmark: BuilderBenchmark.GetConcatenated: Job-HCZBFZ(Runtime=.NET Core 3.1) [Count=10000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "89ab00e3-6655-430e-a2c2-53851d0412ff.dll" --benchmarkName "bench.core.BuilderBenchmark.GetConcatenated(Count: 10000)" --job "Runtime=.NET Core 3.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\89ab00e3-6655-430e-a2c2-53851d0412ff\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.1 (CoreCLR 4.700.19.60701, CoreFX 4.700.19.60801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 470399.27 ns, 470.3993 us/op
WorkloadJitting  1: 1 op, 72496812617.31 ns, 72.4968 s/op

WorkloadWarmup   1: 1 op, 55948998028.17 ns, 55.9490 s/op
WorkloadWarmup   2: 1 op, 85770029494.03 ns, 85.7700 s/op
WorkloadWarmup   3: 1 op, 52081859736.35 ns, 52.0819 s/op
WorkloadWarmup   4: 1 op, 80449169723.91 ns, 80.4492 s/op
WorkloadWarmup   5: 1 op, 48160632370.57 ns, 48.1606 s/op
WorkloadWarmup   6: 1 op, 43842308907.78 ns, 43.8423 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 45124984230.93 ns, 45.1250 s/op
WorkloadActual   2: 1 op, 42833555632.63 ns, 42.8336 s/op
WorkloadActual   3: 1 op, 80403919452.25 ns, 80.4039 s/op
WorkloadActual   4: 1 op, 43009693218.42 ns, 43.0097 s/op
WorkloadActual   5: 1 op, 44946108921.38 ns, 44.9461 s/op
WorkloadActual   6: 1 op, 64840631720.56 ns, 64.8406 s/op
WorkloadActual   7: 1 op, 43745745773.14 ns, 43.7457 s/op
WorkloadActual   8: 1 op, 66798019961.18 ns, 66.7980 s/op
WorkloadActual   9: 1 op, 90563171842.41 ns, 90.5632 s/op
WorkloadActual  10: 1 op, 67711448107.05 ns, 67.7114 s/op
WorkloadActual  11: 1 op, 97811427195.66 ns, 97.8114 s/op
WorkloadActual  12: 1 op, 104427153327.50 ns, 104.4272 s/op
WorkloadActual  13: 1 op, 102999607002.79 ns, 102.9996 s/op
WorkloadActual  14: 1 op, 72722245480.85 ns, 72.7222 s/op
WorkloadActual  15: 1 op, 111192148694.07 ns, 111.1921 s/op
WorkloadActual  16: 1 op, 65187465227.87 ns, 65.1875 s/op
WorkloadActual  17: 1 op, 80316195547.54 ns, 80.3162 s/op
WorkloadActual  18: 1 op, 69958301670.47 ns, 69.9583 s/op
WorkloadActual  19: 1 op, 67153383945.44 ns, 67.1534 s/op
