// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:19 (19.63 sec)   *****
// Found 8 benchmarks:
//   BuilderBenchmark.GetConcatenated: Job-APQBGZ(Runtime=.NET Core 3.1) [Count=200]
//   BuilderBenchmark.GetBuilder: Job-APQBGZ(Runtime=.NET Core 3.1) [Count=200]
//   BuilderBenchmark.GetConcatenated: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=200]
//   BuilderBenchmark.GetBuilder: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=200]
//   BuilderBenchmark.GetConcatenated: Job-APQBGZ(Runtime=.NET Core 3.1) [Count=1000]
//   BuilderBenchmark.GetBuilder: Job-APQBGZ(Runtime=.NET Core 3.1) [Count=1000]
//   BuilderBenchmark.GetConcatenated: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=1000]
//   BuilderBenchmark.GetBuilder: RyuJitX64(Jit=RyuJit, Platform=X64) [Count=1000]

// **************************
// Benchmark: BuilderBenchmark.GetConcatenated: Job-APQBGZ(Runtime=.NET Core 3.1) [Count=200]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b82aceb7-803e-4b6c-9fd1-fc40b3e00bd7.dll" --benchmarkName "bench.core.BuilderBenchmark.GetConcatenated(Count: 200)" --job "Runtime=.NET Core 3.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\b82aceb7-803e-4b6c-9fd1-fc40b3e00bd7\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.1 (CoreCLR 4.700.19.60701, CoreFX 4.700.19.60801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 633756.11 ns, 633.7561 us/op
WorkloadJitting  1: 1 op, 21202605.67 ns, 21.2026 ms/op

OverheadJitting  2: 16 op, 1441559.95 ns, 90.0975 us/op
WorkloadJitting  2: 16 op, 197365849.61 ns, 12.3354 ms/op

WorkloadPilot    1: 16 op, 178538760.26 ns, 11.1587 ms/op
WorkloadPilot    2: 32 op, 381223970.35 ns, 11.9132 ms/op
WorkloadPilot    3: 64 op, 713637174.20 ns, 11.1506 ms/op

OverheadWarmup   1: 64 op, 4703.99 ns, 73.4999 ns/op
OverheadWarmup   2: 64 op, 1282.91 ns, 20.0454 ns/op
OverheadWarmup   3: 64 op, 855.27 ns, 13.3636 ns/op
OverheadWarmup   4: 64 op, 855.27 ns, 13.3636 ns/op
OverheadWarmup   5: 64 op, 855.27 ns, 13.3636 ns/op
OverheadWarmup   6: 64 op, 855.27 ns, 13.3636 ns/op
OverheadWarmup   7: 64 op, 855.27 ns, 13.3636 ns/op

OverheadActual   1: 64 op, 2565.81 ns, 40.0908 ns/op
OverheadActual   2: 64 op, 855.27 ns, 13.3636 ns/op
OverheadActual   3: 64 op, 855.27 ns, 13.3636 ns/op
OverheadActual   4: 64 op, 1282.91 ns, 20.0454 ns/op
OverheadActual   5: 64 op, 1282.91 ns, 20.0454 ns/op
OverheadActual   6: 64 op, 855.27 ns, 13.3636 ns/op
OverheadActual   7: 64 op, 1282.91 ns, 20.0454 ns/op
OverheadActual   8: 64 op, 855.27 ns, 13.3636 ns/op
OverheadActual   9: 64 op, 855.27 ns, 13.3636 ns/op
OverheadActual  10: 64 op, 1282.91 ns, 20.0454 ns/op
OverheadActual  11: 64 op, 855.27 ns, 13.3636 ns/op
OverheadActual  12: 64 op, 855.27 ns, 13.3636 ns/op
