// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\961f973e-dc5e-458f-ace6-6189c8d0ba7d
// command took 3.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\961f973e-dc5e-458f-ace6-6189c8d0ba7d
// command took 14.37s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\961f973e-dc5e-458f-ace6-6189c8d0ba7d
// command took 4.1s and exited with 0
// ***** Done, took 00:00:22 (22.14 sec)   *****
// Found 3 benchmarks:
//   NameParserBenchmarks.GetLastName: DefaultJob
//   NameParserBenchmarks.GetLastNameUsingSubstring: DefaultJob
//   NameParserBenchmarks.GetLastNameWithSpan: DefaultJob

// **************************
// Benchmark: NameParserBenchmarks.GetLastName: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "961f973e-dc5e-458f-ace6-6189c8d0ba7d.dll" --benchmarkName "bench.core.Span.NameParserBenchmarks.GetLastName" --job "Default" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\961f973e-dc5e-458f-ace6-6189c8d0ba7d\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.15 (CoreCLR 4.6.28325.01, CoreFX 4.6.28327.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 657276.07 ns, 657.2761 us/op
WorkloadJitting  1: 1 op, 1385112.03 ns, 1.3851 ms/op

OverheadJitting  2: 16 op, 489642.88 ns, 30.6027 us/op
WorkloadJitting  2: 16 op, 634183.74 ns, 39.6365 us/op

WorkloadPilot    1: 16 op, 17960.70 ns, 1.1225 us/op
WorkloadPilot    2: 32 op, 17533.06 ns, 547.9082 ns/op
WorkloadPilot    3: 64 op, 52171.56 ns, 815.1806 ns/op
WorkloadPilot    4: 128 op, 48750.47 ns, 380.8630 ns/op
WorkloadPilot    5: 256 op, 148817.22 ns, 581.3173 ns/op
WorkloadPilot    6: 512 op, 222370.56 ns, 434.3175 ns/op
WorkloadPilot    7: 1024 op, 440464.77 ns, 430.1414 ns/op
WorkloadPilot    8: 2048 op, 1016917.70 ns, 496.5418 ns/op
WorkloadPilot    9: 4096 op, 1647252.72 ns, 402.1613 ns/op
WorkloadPilot   10: 8192 op, 3264998.57 ns, 398.5594 ns/op
WorkloadPilot   11: 16384 op, 6438910.74 ns, 392.9999 ns/op
WorkloadPilot   12: 32768 op, 12074721.64 ns, 368.4913 ns/op
WorkloadPilot   13: 65536 op, 24171252.70 ns, 368.8240 ns/op
WorkloadPilot   14: 131072 op, 47739111.43 ns, 364.2205 ns/op
WorkloadPilot   15: 262144 op, 94633214.72 ns, 360.9971 ns/op
WorkloadPilot   16: 524288 op, 189100934.43 ns, 360.6814 ns/op
WorkloadPilot   17: 1048576 op, 378187756.88 ns, 360.6680 ns/op
WorkloadPilot   18: 2097152 op, 761056841.76 ns, 362.9002 ns/op

OverheadWarmup   1: 2097152 op, 7388262.00 ns, 3.5230 ns/op
OverheadWarmup   2: 2097152 op, 7360893.31 ns, 3.5099 ns/op
OverheadWarmup   3: 2097152 op, 7298030.87 ns, 3.4800 ns/op
OverheadWarmup   4: 2097152 op, 7363459.13 ns, 3.5112 ns/op
OverheadWarmup   5: 2097152 op, 7284346.52 ns, 3.4734 ns/op
OverheadWarmup   6: 2097152 op, 7361320.95 ns, 3.5102 ns/op
OverheadWarmup   7: 2097152 op, 7409643.78 ns, 3.5332 ns/op
OverheadWarmup   8: 2097152 op, 7354478.78 ns, 3.5069 ns/op

OverheadActual   1: 2097152 op, 7283063.62 ns, 3.4728 ns/op
OverheadActual   2: 2097152 op, 7283491.25 ns, 3.4730 ns/op
OverheadActual   3: 2097152 op, 7345070.79 ns, 3.5024 ns/op
OverheadActual   4: 2097152 op, 7289050.52 ns, 3.4757 ns/op
OverheadActual   5: 2097152 op, 7361320.95 ns, 3.5102 ns/op
OverheadActual   6: 2097152 op, 7302307.22 ns, 3.4820 ns/op
OverheadActual   7: 2097152 op, 7321550.83 ns, 3.4912 ns/op
OverheadActual   8: 2097152 op, 7351057.69 ns, 3.5053 ns/op
OverheadActual   9: 2097152 op, 7396814.71 ns, 3.5271 ns/op
OverheadActual  10: 2097152 op, 7385696.18 ns, 3.5218 ns/op
OverheadActual  11: 2097152 op, 7336518.08 ns, 3.4983 ns/op
OverheadActual  12: 2097152 op, 7352340.60 ns, 3.5059 ns/op
OverheadActual  13: 2097152 op, 7367735.49 ns, 3.5132 ns/op
OverheadActual  14: 2097152 op, 7333952.26 ns, 3.4971 ns/op
OverheadActual  15: 2097152 op, 7332669.36 ns, 3.4965 ns/op

WorkloadWarmup   1: 2097152 op, 752748307.74 ns, 358.9384 ns/op
WorkloadWarmup   2: 2097152 op, 749089884.32 ns, 357.1939 ns/op
WorkloadWarmup   3: 2097152 op, 751586421.54 ns, 358.3843 ns/op
WorkloadWarmup   4: 2097152 op, 754262565.75 ns, 359.6604 ns/op
WorkloadWarmup   5: 2097152 op, 750190190.98 ns, 357.7186 ns/op
WorkloadWarmup   6: 2097152 op, 751893036.34 ns, 358.5305 ns/op
WorkloadWarmup   7: 2097152 op, 752457087.83 ns, 358.7995 ns/op
WorkloadWarmup   8: 2097152 op, 751051449.28 ns, 358.1292 ns/op

// BeforeActualRun
