// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:26 (26.82 sec)   *****
// Found 6 benchmarks:
//   PoolingBenchmark.VersionObjectArray: Job-MBHICT(Runtime=.NET Core 2.1)
//   PoolingBenchmark.VersionClassArrayPool: Job-MBHICT(Runtime=.NET Core 2.1)
//   PoolingBenchmark.VersionStructStackalloc: Job-MBHICT(Runtime=.NET Core 2.1)
//   PoolingBenchmark.VersionObjectArray: RyuJitX64(Jit=RyuJit, Platform=X64)
//   PoolingBenchmark.VersionClassArrayPool: RyuJitX64(Jit=RyuJit, Platform=X64)
//   PoolingBenchmark.VersionStructStackalloc: RyuJitX64(Jit=RyuJit, Platform=X64)

// **************************
// Benchmark: PoolingBenchmark.VersionObjectArray: Job-MBHICT(Runtime=.NET Core 2.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6a9fd7b4-6579-41ba-8aa2-7f780dc7a0cd.dll" --benchmarkName "bench101.PoolingBenchmark.VersionObjectArray" --job "Runtime=.NET Core 2.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\6a9fd7b4-6579-41ba-8aa2-7f780dc7a0cd\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.15 (CoreCLR 4.6.28325.01, CoreFX 4.6.28327.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 831323.80 ns, 831.3238 us/op
WorkloadJitting  1: 1 op, 2693677.28 ns, 2.6937 ms/op

OverheadJitting  2: 16 op, 1431296.69 ns, 89.4560 us/op
WorkloadJitting  2: 16 op, 1619884.03 ns, 101.2428 us/op

WorkloadPilot    1: 16 op, 16677.79 ns, 1.0424 us/op
WorkloadPilot    2: 32 op, 21809.42 ns, 681.5444 ns/op
WorkloadPilot    3: 64 op, 29934.50 ns, 467.7265 ns/op
WorkloadPilot    4: 128 op, 91514.04 ns, 714.9534 ns/op
WorkloadPilot    5: 256 op, 121448.54 ns, 474.4084 ns/op
WorkloadPilot    6: 512 op, 408819.73 ns, 798.4760 ns/op
WorkloadPilot    7: 1024 op, 634611.38 ns, 619.7377 ns/op
WorkloadPilot    8: 2048 op, 1199090.50 ns, 585.4934 ns/op
WorkloadPilot    9: 4096 op, 2599597.42 ns, 634.6673 ns/op
WorkloadPilot   10: 8192 op, 3767042.89 ns, 459.8441 ns/op
WorkloadPilot   11: 16384 op, 7586257.33 ns, 463.0284 ns/op
WorkloadPilot   12: 32768 op, 15689526.22 ns, 478.8063 ns/op
WorkloadPilot   13: 65536 op, 30812007.50 ns, 470.1539 ns/op
WorkloadPilot   14: 131072 op, 57577726.00 ns, 439.2832 ns/op
WorkloadPilot   15: 262144 op, 128049951.27 ns, 488.4718 ns/op
WorkloadPilot   16: 524288 op, 235471611.62 ns, 449.1265 ns/op
WorkloadPilot   17: 1048576 op, 459134491.00 ns, 437.8648 ns/op
WorkloadPilot   18: 2097152 op, 922990080.13 ns, 440.1160 ns/op

OverheadWarmup   1: 2097152 op, 7788956.65 ns, 3.7141 ns/op
OverheadWarmup   2: 2097152 op, 8266198.09 ns, 3.9416 ns/op
OverheadWarmup   3: 2097152 op, 8338468.53 ns, 3.9761 ns/op
OverheadWarmup   4: 2097152 op, 8348304.15 ns, 3.9808 ns/op
OverheadWarmup   5: 2097152 op, 7793233.01 ns, 3.7161 ns/op
OverheadWarmup   6: 2097152 op, 9030810.72 ns, 4.3062 ns/op
OverheadWarmup   7: 2097152 op, 8770808.22 ns, 4.1822 ns/op

OverheadActual   1: 2097152 op, 7800930.45 ns, 3.7198 ns/op
OverheadActual   2: 2097152 op, 7773561.76 ns, 3.7067 ns/op
OverheadActual   3: 2097152 op, 7833858.40 ns, 3.7355 ns/op
OverheadActual   4: 2097152 op, 7953596.39 ns, 3.7926 ns/op
OverheadActual   5: 2097152 op, 8565543.08 ns, 4.0844 ns/op
OverheadActual   6: 2097152 op, 8033564.27 ns, 3.8307 ns/op
OverheadActual   7: 2097152 op, 7945898.95 ns, 3.7889 ns/op
OverheadActual   8: 2097152 op, 7963432.02 ns, 3.7973 ns/op
OverheadActual   9: 2097152 op, 8448798.54 ns, 4.0287 ns/op
OverheadActual  10: 2097152 op, 7906984.10 ns, 3.7703 ns/op
OverheadActual  11: 2097152 op, 8874296.06 ns, 4.2316 ns/op
OverheadActual  12: 2097152 op, 8158006.26 ns, 3.8900 ns/op
OverheadActual  13: 2097152 op, 8291000.96 ns, 3.9535 ns/op
OverheadActual  14: 2097152 op, 8205473.82 ns, 3.9127 ns/op
OverheadActual  15: 2097152 op, 8083170.01 ns, 3.8544 ns/op

WorkloadWarmup   1: 2097152 op, 924041636.32 ns, 440.6174 ns/op
WorkloadWarmup   2: 2097152 op, 933977751.83 ns, 445.3553 ns/op
WorkloadWarmup   3: 2097152 op, 933633932.72 ns, 445.1914 ns/op
WorkloadWarmup   4: 2097152 op, 936571362.35 ns, 446.5920 ns/op
WorkloadWarmup   5: 2097152 op, 928555758.78 ns, 442.7699 ns/op
WorkloadWarmup   6: 2097152 op, 926643799.56 ns, 441.8582 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 931574866.82 ns, 444.2095 ns/op
WorkloadActual   2: 2097152 op, 918897606.48 ns, 438.1645 ns/op
WorkloadActual   3: 2097152 op, 934310024.76 ns, 445.5137 ns/op
WorkloadActual   4: 2097152 op, 936238661.77 ns, 446.4334 ns/op
WorkloadActual   5: 2097152 op, 927011993.90 ns, 442.0338 ns/op
WorkloadActual   6: 2097152 op, 960504849.60 ns, 458.0044 ns/op
WorkloadActual   7: 2097152 op, 948513089.29 ns, 452.2863 ns/op
WorkloadActual   8: 2097152 op, 931408088.90 ns, 444.1300 ns/op
WorkloadActual   9: 2097152 op, 941953157.64 ns, 449.1583 ns/op
WorkloadActual  10: 2097152 op, 934925392.54 ns, 445.8072 ns/op
WorkloadActual  11: 2097152 op, 935964547.29 ns, 446.3027 ns/op
WorkloadActual  12: 2097152 op, 940347813.22 ns, 448.3928 ns/op
WorkloadActual  13: 2097152 op, 938207496.54 ns, 447.3722 ns/op
WorkloadActual  14: 2097152 op, 933103664.45 ns, 444.9385 ns/op
WorkloadActual  15: 2097152 op, 916159455.09 ns, 436.8589 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 923541302.55 ns, 440.3788 ns/op
WorkloadResult   2: 2097152 op, 910864042.21 ns, 434.3338 ns/op
WorkloadResult   3: 2097152 op, 926276460.49 ns, 441.6830 ns/op
WorkloadResult   4: 2097152 op, 928205097.50 ns, 442.6027 ns/op
WorkloadResult   5: 2097152 op, 918978429.63 ns, 438.2031 ns/op
WorkloadResult   6: 2097152 op, 940479525.02 ns, 448.4556 ns/op
WorkloadResult   7: 2097152 op, 923374524.63 ns, 440.2993 ns/op
WorkloadResult   8: 2097152 op, 933919593.37 ns, 445.3276 ns/op
WorkloadResult   9: 2097152 op, 926891828.27 ns, 441.9765 ns/op
WorkloadResult  10: 2097152 op, 927930983.02 ns, 442.4720 ns/op
WorkloadResult  11: 2097152 op, 932314248.95 ns, 444.5621 ns/op
WorkloadResult  12: 2097152 op, 930173932.27 ns, 443.5415 ns/op
WorkloadResult  13: 2097152 op, 925070100.18 ns, 441.1078 ns/op
WorkloadResult  14: 2097152 op, 908125890.82 ns, 433.0282 ns/op
GC:  663 0 0 1392508928 2097152
Threading:  0 0 2097152

// AfterAll
// Benchmark Process 7656 has exited with code 0

Mean = 441.2837 ns, StdErr = 1.0874 ns (0.25%); N = 14, StdDev = 4.0685 ns
Min = 433.0282 ns, Q1 = 440.2993 ns, Median = 441.8298 ns, Q3 = 443.5415 ns, Max = 448.4556 ns
IQR = 3.2422 ns, LowerFence = 435.4360 ns, UpperFence = 448.4048 ns
ConfidenceInterval = [436.6941 ns; 445.8733 ns] (CI 99.9%), Margin = 4.5896 ns (1.04% of Mean)
Skewness = -0.47, Kurtosis = 2.64, MValue = 2

// **************************
// Benchmark: PoolingBenchmark.VersionClassArrayPool: Job-MBHICT(Runtime=.NET Core 2.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6a9fd7b4-6579-41ba-8aa2-7f780dc7a0cd.dll" --benchmarkName "bench101.PoolingBenchmark.VersionClassArrayPool" --job "Runtime=.NET Core 2.1" --benchmarkId 1 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\6a9fd7b4-6579-41ba-8aa2-7f780dc7a0cd\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.15 (CoreCLR 4.6.28325.01, CoreFX 4.6.28327.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 860830.67 ns, 860.8307 us/op
WorkloadJitting  1: 1 op, 4013788.69 ns, 4.0138 ms/op

OverheadJitting  2: 16 op, 1492020.96 ns, 93.2513 us/op
WorkloadJitting  2: 16 op, 1718240.24 ns, 107.3900 us/op

WorkloadPilot    1: 16 op, 19671.24 ns, 1.2295 us/op
WorkloadPilot    2: 32 op, 33355.58 ns, 1.0424 us/op
WorkloadPilot    3: 64 op, 70559.89 ns, 1.1025 us/op
WorkloadPilot    4: 128 op, 132139.43 ns, 1.0323 us/op
WorkloadPilot    5: 256 op, 178751.72 ns, 698.2489 ns/op
WorkloadPilot    6: 512 op, 291647.55 ns, 569.6241 ns/op
WorkloadPilot    7: 1024 op, 711158.17 ns, 694.4904 ns/op
WorkloadPilot    8: 2048 op, 1335506.29 ns, 652.1027 ns/op
WorkloadPilot    9: 4096 op, 2659466.42 ns, 649.2838 ns/op
WorkloadPilot   10: 8192 op, 5164556.36 ns, 630.4390 ns/op
WorkloadPilot   11: 16384 op, 9832627.66 ns, 600.1360 ns/op
WorkloadPilot   12: 32768 op, 19551931.87 ns, 596.6776 ns/op
WorkloadPilot   13: 65536 op, 38423922.97 ns, 586.3025 ns/op
WorkloadPilot   14: 131072 op, 75242929.15 ns, 574.0580 ns/op
WorkloadPilot   15: 262144 op, 148097512.91 ns, 564.9472 ns/op
WorkloadPilot   16: 524288 op, 305751400.83 ns, 583.1745 ns/op
WorkloadPilot   17: 1048576 op, 595134189.94 ns, 567.5642 ns/op

OverheadWarmup   1: 1048576 op, 3928261.55 ns, 3.7463 ns/op
OverheadWarmup   2: 1048576 op, 3988985.81 ns, 3.8042 ns/op
OverheadWarmup   3: 1048576 op, 3976584.38 ns, 3.7924 ns/op
OverheadWarmup   4: 1048576 op, 4065960.24 ns, 3.8776 ns/op
OverheadWarmup   5: 1048576 op, 4003953.06 ns, 3.8185 ns/op

OverheadActual   1: 1048576 op, 3921419.37 ns, 3.7398 ns/op
OverheadActual   2: 1048576 op, 4051848.26 ns, 3.8641 ns/op
OverheadActual   3: 1048576 op, 4328956.20 ns, 4.1284 ns/op
OverheadActual   4: 1048576 op, 4229317.08 ns, 4.0334 ns/op
OverheadActual   5: 1048576 op, 4098888.19 ns, 3.9090 ns/op
OverheadActual   6: 1048576 op, 4196389.13 ns, 4.0020 ns/op
OverheadActual   7: 1048576 op, 4044150.82 ns, 3.8568 ns/op
OverheadActual   8: 1048576 op, 4045861.36 ns, 3.8584 ns/op
OverheadActual   9: 1048576 op, 4290468.98 ns, 4.0917 ns/op
OverheadActual  10: 1048576 op, 3951781.51 ns, 3.7687 ns/op
OverheadActual  11: 1048576 op, 4047571.91 ns, 3.8601 ns/op
OverheadActual  12: 1048576 op, 3982998.92 ns, 3.7985 ns/op
OverheadActual  13: 1048576 op, 4039446.83 ns, 3.8523 ns/op
OverheadActual  14: 1048576 op, 4000959.61 ns, 3.8156 ns/op
OverheadActual  15: 1048576 op, 4126256.87 ns, 3.9351 ns/op

WorkloadWarmup   1: 1048576 op, 588553304.15 ns, 561.2882 ns/op
WorkloadWarmup   2: 1048576 op, 589048933.93 ns, 561.7608 ns/op
WorkloadWarmup   3: 1048576 op, 598899094.65 ns, 571.1547 ns/op
WorkloadWarmup   4: 1048576 op, 587553064.24 ns, 560.3343 ns/op
WorkloadWarmup   5: 1048576 op, 591059249.35 ns, 563.6780 ns/op
WorkloadWarmup   6: 1048576 op, 698580548.82 ns, 666.2183 ns/op
WorkloadWarmup   7: 1048576 op, 784468613.46 ns, 748.1276 ns/op
WorkloadWarmup   8: 1048576 op, 617700525.86 ns, 589.0851 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 609638737.64 ns, 581.3968 ns/op
WorkloadActual   2: 1048576 op, 603555192.16 ns, 575.5951 ns/op
WorkloadActual   3: 1048576 op, 584086649.26 ns, 557.0284 ns/op
WorkloadActual   4: 1048576 op, 590980992.02 ns, 563.6034 ns/op
WorkloadActual   5: 1048576 op, 587130560.17 ns, 559.9313 ns/op
WorkloadActual   6: 1048576 op, 592764660.53 ns, 565.3044 ns/op
WorkloadActual   7: 1048576 op, 586268874.24 ns, 559.1096 ns/op
WorkloadActual   8: 1048576 op, 593643879.53 ns, 566.1429 ns/op
WorkloadActual   9: 1048576 op, 587007828.73 ns, 559.8143 ns/op
WorkloadActual  10: 1048576 op, 590540954.88 ns, 563.1837 ns/op
WorkloadActual  11: 1048576 op, 598477873.49 ns, 570.7530 ns/op
WorkloadActual  12: 1048576 op, 592462749.72 ns, 565.0165 ns/op
WorkloadActual  13: 1048576 op, 588044845.30 ns, 560.8033 ns/op
WorkloadActual  14: 1048576 op, 605047640.76 ns, 577.0184 ns/op
WorkloadActual  15: 1048576 op, 600480491.47 ns, 572.6628 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 605591165.73 ns, 577.5367 ns/op
WorkloadResult   2: 1048576 op, 599507620.25 ns, 571.7350 ns/op
WorkloadResult   3: 1048576 op, 580039077.35 ns, 553.1684 ns/op
WorkloadResult   4: 1048576 op, 586933420.11 ns, 559.7433 ns/op
WorkloadResult   5: 1048576 op, 583082988.27 ns, 556.0713 ns/op
WorkloadResult   6: 1048576 op, 588717088.62 ns, 561.4444 ns/op
WorkloadResult   7: 1048576 op, 582221302.33 ns, 555.2495 ns/op
WorkloadResult   8: 1048576 op, 589596307.62 ns, 562.2829 ns/op
WorkloadResult   9: 1048576 op, 582960256.82 ns, 555.9542 ns/op
WorkloadResult  10: 1048576 op, 586493382.98 ns, 559.3237 ns/op
WorkloadResult  11: 1048576 op, 594430301.58 ns, 566.8929 ns/op
WorkloadResult  12: 1048576 op, 588415177.82 ns, 561.1564 ns/op
WorkloadResult  13: 1048576 op, 583997273.39 ns, 556.9432 ns/op
WorkloadResult  14: 1048576 op, 601000068.85 ns, 573.1583 ns/op
WorkloadResult  15: 1048576 op, 596432919.57 ns, 568.8028 ns/op
GC:  255 0 0 536870912 1048576
Threading:  0 0 1048576

// AfterAll
// Benchmark Process 784 has exited with code 0

Mean = 562.6309 ns, StdErr = 1.9013 ns (0.34%); N = 15, StdDev = 7.3636 ns
Min = 553.1684 ns, Q1 = 556.0713 ns, Median = 561.1564 ns, Q3 = 568.8028 ns, Max = 577.5367 ns
IQR = 12.7315 ns, LowerFence = 536.9740 ns, UpperFence = 587.9000 ns
ConfidenceInterval = [554.7588 ns; 570.5030 ns] (CI 99.9%), Margin = 7.8721 ns (1.40% of Mean)
Skewness = 0.58, Kurtosis = 1.96, MValue = 2

// **************************
// Benchmark: PoolingBenchmark.VersionStructStackalloc: Job-MBHICT(Runtime=.NET Core 2.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6a9fd7b4-6579-41ba-8aa2-7f780dc7a0cd.dll" --benchmarkName "bench101.PoolingBenchmark.VersionStructStackalloc" --job "Runtime=.NET Core 2.1" --benchmarkId 2 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\6a9fd7b4-6579-41ba-8aa2-7f780dc7a0cd\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.15 (CoreCLR 4.6.28325.01, CoreFX 4.6.28327.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 834317.25 ns, 834.3173 us/op
WorkloadJitting  1: 1 op, 3676384.12 ns, 3.6764 ms/op

OverheadJitting  2: 16 op, 2139033.77 ns, 133.6896 us/op
WorkloadJitting  2: 16 op, 1651101.44 ns, 103.1938 us/op

WorkloadPilot    1: 16 op, 27796.32 ns, 1.7373 us/op
WorkloadPilot    2: 32 op, 40625.39 ns, 1.2695 us/op
WorkloadPilot    3: 64 op, 85527.14 ns, 1.3364 us/op
WorkloadPilot    4: 128 op, 156942.30 ns, 1.2261 us/op
WorkloadPilot    5: 256 op, 493063.96 ns, 1.9260 us/op
WorkloadPilot    6: 512 op, 645302.27 ns, 1.2604 us/op
WorkloadPilot    7: 1024 op, 1249979.15 ns, 1.2207 us/op
WorkloadPilot    8: 2048 op, 2498675.40 ns, 1.2201 us/op
WorkloadPilot    9: 4096 op, 5352716.06 ns, 1.3068 us/op
WorkloadPilot   10: 8192 op, 10814051.60 ns, 1.3201 us/op
WorkloadPilot   11: 16384 op, 20332367.02 ns, 1.2410 us/op
WorkloadPilot   12: 32768 op, 41582012.62 ns, 1.2690 us/op
WorkloadPilot   13: 65536 op, 83088761.35 ns, 1.2678 us/op
WorkloadPilot   14: 131072 op, 160431381.79 ns, 1.2240 us/op
WorkloadPilot   15: 262144 op, 323010777.70 ns, 1.2322 us/op
WorkloadPilot   16: 524288 op, 654676901.98 ns, 1.2487 us/op

OverheadWarmup   1: 524288 op, 2337884.38 ns, 4.4592 ns/op
OverheadWarmup   2: 524288 op, 1992782.36 ns, 3.8009 ns/op
OverheadWarmup   3: 524288 op, 1996631.09 ns, 3.8083 ns/op
OverheadWarmup   4: 524288 op, 2035118.30 ns, 3.8817 ns/op
OverheadWarmup   5: 524288 op, 2112520.36 ns, 4.0293 ns/op
OverheadWarmup   6: 524288 op, 2194626.42 ns, 4.1859 ns/op
OverheadWarmup   7: 524288 op, 2006894.34 ns, 3.8278 ns/op
OverheadWarmup   8: 524288 op, 1981236.20 ns, 3.7789 ns/op
OverheadWarmup   9: 524288 op, 1986795.46 ns, 3.7895 ns/op
OverheadWarmup  10: 524288 op, 1991927.09 ns, 3.7993 ns/op

OverheadActual   1: 524288 op, 1982091.47 ns, 3.7805 ns/op
OverheadActual   2: 524288 op, 1979953.29 ns, 3.7765 ns/op
OverheadActual   3: 524288 op, 1977387.48 ns, 3.7716 ns/op
OverheadActual   4: 524288 op, 1983374.38 ns, 3.7830 ns/op
OverheadActual   5: 524288 op, 1993637.64 ns, 3.8026 ns/op
OverheadActual   6: 524288 op, 2171961.72 ns, 4.1427 ns/op
OverheadActual   7: 524288 op, 2216008.20 ns, 4.2267 ns/op
