// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:20 (20.26 sec)   *****
// Found 6 benchmarks:
//   PoolingBenchmark.VersionObjectArray: Job-CNEZDE(Runtime=.NET Core 2.1)
//   PoolingBenchmark.VersionClassArrayPool: Job-CNEZDE(Runtime=.NET Core 2.1)
//   PoolingBenchmark.VersionStructStackalloc: Job-CNEZDE(Runtime=.NET Core 2.1)
//   PoolingBenchmark.VersionObjectArray: RyuJitX64(Jit=RyuJit, Platform=X64)
//   PoolingBenchmark.VersionClassArrayPool: RyuJitX64(Jit=RyuJit, Platform=X64)
//   PoolingBenchmark.VersionStructStackalloc: RyuJitX64(Jit=RyuJit, Platform=X64)

// **************************
// Benchmark: PoolingBenchmark.VersionObjectArray: Job-CNEZDE(Runtime=.NET Core 2.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "53e2596d-a163-478f-a433-0fb4b6930e32.dll" --benchmarkName "bench101.PoolingBenchmark.VersionObjectArray" --job "Runtime=.NET Core 2.1" --benchmarkId 0 in C:\Users\maxkp\source\repos\bench101\bench.core\bin\Release\netcoreapp2.1\53e2596d-a163-478f-a433-0fb4b6930e32\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.15 (CoreCLR 4.6.28325.01, CoreFX 4.6.28327.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 539676.25 ns, 539.6763 us/op
WorkloadJitting  1: 1 op, 2140316.68 ns, 2.1403 ms/op

OverheadJitting  2: 16 op, 975009.40 ns, 60.9381 us/op
WorkloadJitting  2: 16 op, 1508698.75 ns, 94.2937 us/op

WorkloadPilot    1: 16 op, 11973.80 ns, 748.3625 ns/op
WorkloadPilot    2: 32 op, 15822.52 ns, 494.4538 ns/op
WorkloadPilot    3: 64 op, 29934.50 ns, 467.7265 ns/op
WorkloadPilot    4: 128 op, 62007.18 ns, 484.4311 ns/op
WorkloadPilot    5: 256 op, 117172.18 ns, 457.7038 ns/op
WorkloadPilot    6: 512 op, 197995.33 ns, 386.7096 ns/op
WorkloadPilot    7: 1024 op, 374181.24 ns, 365.4114 ns/op
WorkloadPilot    8: 2048 op, 925403.66 ns, 451.8573 ns/op
WorkloadPilot    9: 4096 op, 2351568.72 ns, 574.1135 ns/op
WorkloadPilot   10: 8192 op, 2798875.66 ns, 341.6596 ns/op
WorkloadPilot   11: 16384 op, 4710407.24 ns, 287.5004 ns/op
WorkloadPilot   12: 32768 op, 11014612.74 ns, 336.1393 ns/op
WorkloadPilot   13: 65536 op, 22564197.74 ns, 344.3023 ns/op
WorkloadPilot   14: 131072 op, 43515781.25 ns, 331.9991 ns/op
WorkloadPilot   15: 262144 op, 84828383.38 ns, 323.5946 ns/op
WorkloadPilot   16: 524288 op, 204633090.71 ns, 390.3066 ns/op
WorkloadPilot   17: 1048576 op, 424564848.60 ns, 404.8966 ns/op
