Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Overhead,Jitting,1,530268.72,1,530268.72
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Jitting,1,523426.55,1,523426.55
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Overhead,Jitting,2,1451824.45,16,90739.03
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Jitting,2,1896138.32,16,118508.65
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Pilot,1,366484.11,16,22905.26
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Pilot,2,777014.73,32,24281.71
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Pilot,3,1461660.07,64,22838.44
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Pilot,4,2884405.27,128,22534.42
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Pilot,5,6027957.99,256,23546.71
Md5VsSha256.Sha256,bench101,Md5VsSha256,Sha256,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,.NET 4.7.2,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-SWSWQT(Runtime=.NET 4.7.2),N=1000,1,Workload,Pilot,6,11819005.6,512,23084
